geneA	geneB	score	db	level
GRN	SORT1	0.968	string	1
GRN	TARDBP	0.958	string	1
GRN	SLPI	0.934	string	1
GRN	HSPG2	0.907	string	1
GRN	TMEM106B	0.906	string	1
CSTF1	CSTF2	0.999	string	1
CSTF1	CSTF3	0.999	string	1
CSTF1	CPSF2	0.998	string	1
CSTF1	BARD1	0.997	string	1
CSTF1	CSTF2T	0.996	string	1
CTSH	CSTA	0.964	string	1
CTSH	BCL2	0.911	string	1
CTSH	BCL2L1	0.908	string	1
CTSH	BID	0.907	string	1
WNT3	FZD8	0.998	string	1
WNT3	LRP5	0.995	string	1
WNT3	LRP6	0.987	string	1
WNT3	PORCN	0.983	string	1
WNT3	FZD7	0.977	string	1
CPSF3	CPSF2	0.999	string	1
CPSF3	WDR33	0.999	string	1
CPSF3	CPSF4	0.999	string	1
CPSF3	CPSF1	0.999	string	1
CPSF3	CSTF2	0.999	string	1
APH1B	NCSTN	0.999	string	1
APH1B	PSENEN	0.999	string	1
APH1B	PSEN2	0.999	string	1
APH1B	PSEN1	0.999	string	1
APH1B	APH1A	0.975	string	1
LACTB	NSFL1C	0.994	string	1
LACTB	UBXN2A	0.994	string	1
ACE	AGT	0.999	string	1
ACE	KNG1	0.995	string	1
ACE	REN	0.987	string	1
ACE	AGTR1	0.974	string	1
ACE	ACE2	0.956	string	1
BIN1	RIN3	0.999	string	1
BIN1	MYC	0.999	string	1
BIN1	SYNJ1	0.994	string	1
BIN1	DNM2	0.992	string	1
BIN1	DNM1	0.99	string	1
NDUFS2	MT-ND3	0.999	string	1
NDUFS2	MT-ND4	0.999	string	1
NDUFS2	NDUFC2	0.999	string	1
NDUFS2	NDUFA13	0.999	string	1
NDUFS2	NDUFB5	0.999	string	1
PLEKHA1	PTPN13	0.971	string	1
PLEKHA1	ARMS2	0.915	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EPHX2	CYP2J2	0.981	string	1
EPHX2	CYP2C8	0.973	string	1
EPHX2	CYP2C9	0.967	string	1
EPHX2	CYP2B6	0.944	string	1
EPHX2	PNP	0.927	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
DOC2A	UNC13B	0.92	string	1
CHRNE	CHRNA1	0.941	string	1
CHRNE	RAPSN	0.915	string	1
RIN3	CD2AP	0.973	string	2
RIN3	RAB5B	0.929	string	2
RIN3	RAB5A	0.917	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
INO80B	INO80C	0.997	string	2
TARDBP	FUS	0.999	string	2
TARDBP	HNRNPA2B1	0.998	string	2
TARDBP	HNRNPA1	0.997	string	2
TARDBP	MATR3-2	0.996	string	2
TARDBP	MATR3	0.995	string	2
ACTR5	RUVBL1	0.999	string	2
ACTR5	INO80C	0.999	string	2
ACTR5	NFRKB	0.999	string	2
ACTR5	INO80	0.999	string	2
SORT1	NTS	0.999	string	2
SORT1	NGFR	0.999	string	2
SORT1	BDNF	0.998	string	2
SORT1	NGF	0.997	string	2
SORT1	APOB	0.983	string	2
NDUFB5	NDUFA8	0.999	string	2
NDUFB5	NDUFS5	0.999	string	2
NDUFB5	NDUFA2	0.999	string	2
NDUFB5	NDUFB10	0.999	string	2
CYP2C9	CYP2C19	0.988	string	2
CYP2C9	VKORC1	0.98	string	2
CYP2C9	CYP3A4	0.98	string	2
CYP2C9	CYP4F2	0.974	string	2
CYP2C9	CYP3A7	0.971	string	2
BARD1	UIMC1	0.999	string	2
BARD1	RAD51	0.999	string	2
BARD1	RBBP8	0.999	string	2
BARD1	BRCA2	0.999	string	2
BARD1	MRE11	0.999	string	2
CHRNA1	CHRND	0.959	string	2
CHRNA1	CHRNG	0.926	string	2
CHRNA1	CHRNB1	0.912	string	2
LRP6	WNT3A	0.999	string	2
LRP6	WNT1	0.999	string	2
LRP6	DKK1	0.999	string	2
LRP6	FZD4	0.999	string	2
LRP6	DKK4	0.999	string	2
CSTA	CTSB	0.998	string	2
CSTA	CTSL	0.992	string	2
CSTA	CTSV	0.96	string	2
CSTA	SLC12A8	0.958	string	2
REN	AGT	0.999	string	2
REN	ATP6AP2	0.999	string	2
REN	AGTR1	0.969	string	2
REN	ACE2	0.96	string	2
NDUFC2	NDUFA9	0.999	string	2
NDUFC2	NDUFA5	0.999	string	2
NDUFC2	NDUFB8	0.999	string	2
NDUFC2	NDUFB11	0.999	string	2
NDUFC2	NDUFA6	0.999	string	2
FZD7	WNT5A	0.998	string	2
FZD7	WNT11	0.997	string	2
FZD7	WNT7A	0.995	string	2
FZD7	DVL1	0.992	string	2
FZD7	LRP6	0.989	string	2
CPSF4	FIP1L1	0.999	string	2
CPSF4	SYMPK	0.999	string	2
CPSF4	WDR33	0.999	string	2
CPSF4	CPSF1	0.999	string	2
LRP5	SOST	0.999	string	2
LRP5	DKK4	0.999	string	2
LRP5	AXIN1	0.999	string	2
LRP5	DKK2	0.999	string	2
LRP5	WNT1	0.999	string	2
NCSTN	APH1A	0.999	string	2
NCSTN	PSEN1	0.999	string	2
NCSTN	PSENEN	0.999	string	2
NCSTN	PSEN2	0.999	string	2
RAPSN	MUSK	0.991	string	2
RAPSN	AGRN	0.988	string	2
RAPSN	DOK7	0.983	string	2
RAPSN	CHRND	0.93	string	2
RAPSN	CHRNB1	0.929	string	2
CPSF2	CPSF1	0.999	string	2
CPSF2	CPSF4	0.999	string	2
CPSF2	WDR33	0.999	string	2
CPSF2	FIP1L1	0.999	string	2
MSL2	MSL3	0.999	string	2
MSL2	MSL1	0.999	string	2
MSL2	KAT5	0.951	string	2
MSL2	MORF4L1	0.93	string	2
UBXN2A	VCP	0.999	string	2
UBXN2A	NSFL1C	0.999	string	2
UBXN2A	ASPSCR1	0.997	string	2
UBXN2A	UBXN10	0.997	string	2
UBXN2A	VCPIP1	0.995	string	2
MSL3	MSL1	0.999	string	2
MSL3	H4C6	0.992	string	2
MSL3	KAT5	0.958	string	2
CSTF3	CPSF1	0.999	string	2
CSTF3	FIP1L1	0.999	string	2
CSTF3	SYMPK	0.999	string	2
CSTF3	CSTF2	0.999	string	2
BID	BAK1	0.999	string	2
BID	BCL2L1	0.999	string	2
BID	BAX	0.998	string	2
BID	BCL2	0.998	string	2
BID	MCL1	0.996	string	2
PORCN	WNT1	0.989	string	2
PORCN	WNT7A	0.982	string	2
PORCN	WNT3A	0.982	string	2
PORCN	WNT5A	0.969	string	2
CYP2B6	CYP3A5	0.97	string	2
CYP2B6	CYP3A7	0.967	string	2
CYP2B6	CYP4A11	0.966	string	2
CYP2B6	PPIG	0.964	string	2
CYP2B6	CYP1A2	0.963	string	2
WDR33	CPSF1	0.999	string	2
WDR33	FIP1L1	0.999	string	2
WDR33	SYMPK	0.999	string	2
PSEN1	PSENEN	0.999	string	2
PSEN1	CTNNB1	0.999	string	2
PSEN1	PSEN2	0.999	string	2
PSEN1	APP	0.999	string	2
CSTF2T	CSTF3	0.998	string	2
CSTF2T	CSTF2	0.989	string	2
CSTF2T	FIP1L1	0.985	string	2
CSTF2T	SYMPK	0.983	string	2
SLPI	ELANE	0.998	string	2
WDR5	H3C12	0.999	string	2
WDR5	H3C13	0.999	string	2
WDR5	DPY30	0.999	string	2
WDR5	KANSL1	0.999	string	2
WDR5	RBBP5	0.999	string	2
PNP	ADA	0.998	string	2
PNP	XDH	0.997	string	2
PNP	APRT	0.996	string	2
PNP	UPP2	0.996	string	2
PNP	UPP1	0.994	string	2
MT-ND4	NDUFB3	0.999	string	2
MT-ND4	MT-CYB	0.999	string	2
MT-ND4	NDUFS1	0.999	string	2
MT-ND4	NDUFAB1	0.999	string	2
MT-ND4	NDUFV2	0.999	string	2
MT-ND3	NDUFA2	0.999	string	2
MT-ND3	NDUFA8	0.999	string	2
MT-ND3	MT-CO3	0.999	string	2
MT-ND3	NDUFA12	0.999	string	2
AGT	AGTR2	0.999	string	2
AGT	AGTR1	0.999	string	2
AGT	ACE2	0.999	string	2
PSEN2	APH1A	0.999	string	2
PSEN2	PSENEN	0.999	string	2
