level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	1457	22	2.2574825243035196e-24	2.4019614058589447e-21	11	0.024
level0	White matter microstructure (radial diusivities)	344506	250	1457	19	4.176696631058649e-18	4.4440052154464025e-15	11	0.024
level0	White matter microstructure (axial diusivities)	344506	160	1457	14	1.4305148194643767e-14	1.522067767910097e-11	6	0.014
level0	Hemoglobin concentration	344506	1081	1457	24	1.0537754463927737e-10	1.1212170749619112e-07	25	0.052
level0	White matter microstructure (fractional anisotropy)	344506	240	1457	17	7.6532977519117235e-16	8.143108808034074e-13	21	0.044
level0	Neuroticism	344506	1057	1457	34	2.8493593779469352e-19	3.031718378135539e-16	14	0.03
level0	Parkinson's disease	344506	374	1457	29	4.185215498787909e-27	4.453069290710335e-24	16	0.034
level0	Alzheimer's disease in APOE e4- carriers	344506	35	1457	4	1.50265914951743e-05	0.015988293350865455	4	0.01
level0	Coronary artery disease	344506	1580	1457	93	4.1420390262317166e-73	4.4071295239105466e-70	31	0.064
level0	Alzheimer's disease	344506	342	1457	35	1.2570934902281846e-36	1.3375474736027885e-33	4	0.01
level0	Ovarian cancer in BRCA1 mutation carriers	344506	8	1457	3	4.161057365473787e-06	0.00442736503686411	6	0.014
level0	Alzheimer's disease (late onset)	344506	123	1457	9	3.6111116656897485e-09	3.842222812293892e-06	1	0.004
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	1457	7	4.305784788362128e-07	0.0004581355014817304	2	0.006
level0	Cortical surface area (global PC1)	344506	15	1457	5	3.896045469797536e-09	4.145392379864578e-06	3	0.008
level0	White matter hyperintensities	344506	36	1457	4	1.6848123720271223e-05	0.01792640363836858	13	0.028
level0	Myocardial infarction	344506	736	1457	13	2.1443105334521207e-05	0.022815464075930564	15	0.032
level0	Diastolic blood pressure (education interaction)	344506	2	1457	2	1.7874282068055733e-05	0.0190182361204113	0	0.002
level0	IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L	344506	2	1457	2	1.7874282068055733e-05	0.0190182361204113	3	0.008
level0	IDP dMRI ProbtrackX L1 ptr l	344506	2	1457	2	1.7874282068055733e-05	0.0190182361204113	3	0.008
level0	aseg global volume SupraTentorialNotVent	344506	2	1457	2	1.7874282068055733e-05	0.0190182361204113	3	0.008
level0	Cerebrospinal fluid progranulin levels	344506	10	1457	3	8.860256325868207e-06	0.009427312730723772	3	0.008
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	1457	43	1.411151050934249e-50	1.501464718194041e-47	12	0.026
level0	Family history of Alzheimer's disease	344506	87	1457	12	4.150685343687417e-15	4.416329205683412e-12	3	0.008
level0	Experiencing mood swings	344506	69	1457	7	2.0483315954705188e-08	2.179424817580632e-05	6	0.014
level0	Feeling hurt	344506	46	1457	5	1.5950553438740328e-06	0.001697138885881971	6	0.014
level0	Feeling worry	344506	71	1457	5	1.3881154563141445e-05	0.014769548455182498	9	0.02
level0	Irritable mood	344506	67	1457	8	5.252031901165548e-10	5.588161942840143e-07	12	0.026
level0	Feeling nervous	344506	67	1457	5	1.0441483654500395e-05	0.01110973860838842	9	0.02
level0	Feeling guilty	344506	29	1457	10	3.3064528362900394e-17	3.518065817812602e-14	13	0.028
level0	Major depressive disorder or stress-related disorder	344506	242	1457	23	7.85261236883964e-24	8.355179560445376e-21	4	0.01
level0	Alpha-L-iduronidase levels (IDUA.3169.70.2)	344506	7	1457	4	1.1039104231835582e-08	1.1745606902673059e-05	5	0.012
level0	Non-lobar intracerebral hemorrhage (MTAG)	344506	42	1457	5	1.0038414660444698e-06	0.0010680873198713157	2	0.006
level0	Depressed affect	344506	157	1457	13	2.5427474778066336e-13	2.7054833163862584e-10	6	0.014
level0	Worry	344506	147	1457	9	1.724669668384566e-08	1.835048527161178e-05	13	0.028
level0	General factor of neuroticism	344506	308	1457	19	2.0004171707144725e-16	2.1284438696401987e-13	12	0.026
level0	Alzheimer's disease (age of onset) in APOE e4 non-carriers	344506	9	1457	3	6.22184946073534e-06	0.0066200478262224026	6	0.014
level0	Inguinal hernia	344506	2192	1457	41	9.134220089704684e-15	9.718810175445784e-12	31	0.064
level0	Granulins levels	344506	14	1457	3	2.6538027025719694e-05	0.028236460755365754	3	0.008
level0	Alpha-L-iduronidase levels	344506	60	1457	6	2.3334046875423877e-07	0.00024827425875451005	6	0.014
level0	Succinylcarnitine levels	344506	18	1457	6	1.0068137778685908e-10	1.0712498596521806e-07	5	0.012
level0	Cathepsin H levels	344506	13	1457	5	1.6815152358446144e-09	1.7891322109386697e-06	5	0.012
level0	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	344506	477	1457	14	2.698093782274424e-08	2.870771784339987e-05	0	0.002
level0	Posterolateral temporal area (unadjusted for global measures)	344506	33	1457	4	1.1822790996676819e-05	0.012579449620464134	6	0.014
level0	Occipital area (unadjusted for global measures)	344506	45	1457	5	1.4266707261912799e-06	0.0015179776526675218	4	0.01
level0	Dorsolateral prefrontal area (unadjusted for global measures)	344506	48	1457	5	1.9785800864438355e-06	0.002105209211976241	6	0.014
level0	COVID-19 severity	344506	47	1457	7	1.2946827133267008e-09	1.3775424069796097e-06	7	0.016
level0	Inferior parietal area (unadjusted for global measures)	344506	45	1457	4	4.134541413316518e-05	0.04399152063768775	4	0.01
level0	Superior parietal area (unadjusted for global measures)	344506	30	1457	4	7.998362275535836e-06	0.008510257461170128	3	0.008
level0	Medial temporal thickness (unadjusted for global measures)	344506	15	1457	3	3.306777119010574e-05	0.035184108546272505	3	0.008
level0	Inferior parietal thickness (unadjusted for global measures)	344506	21	1457	4	1.8005585638596022e-06	0.0019157943119466167	3	0.008
level0	Ventromedial occipital thickness (unadjusted for global measures)	344506	32	1457	4	1.042476214004599e-05	0.011091946917008932	2	0.006
level0	Ventral frontal thickness (unadjusted for global measures)	344506	29	1457	4	6.955300093852178e-06	0.007400439299858718	3	0.008
level0	Breast cancer or critical COVID-19 (pleiotropy)	344506	6	1457	3	1.4955380484262497e-06	0.0015912524835255298	1	0.004
level0	Ovarian cancer or critical COVID-19 (pleiotropy)	344506	4	1457	3	3.010096466553079e-07	0.0003202742640412476	3	0.008
level0	Major depressive disorder or hospitalized COVID-19 (pleiotropy)	344506	6	1457	3	1.4955380484262497e-06	0.0015912524835255298	1	0.004
level1	Neuroblastoma	344506	71	365	3	6.390351922551229e-05	0.023836012671116083	6	0.014
level1	Sitting height ratio	344506	44	365	3	1.512548313899742e-05	0.005641805210846037	5	0.012
level1	Neuroticism	344506	1057	365	10	2.7196449515087415e-07	0.00010144275669127605	29	0.06
level1	Reaction time	344506	539	365	16	2.1250626735291293e-18	7.926483772263652e-16	20	0.042
level1	GM3 ganglioside (d18:1/22:0) levels	344506	4	365	2	6.7072244879573636e-06	0.002501794734008097	3	0.008
level1	GM3 ganglioside (d18:1/24:0) levels	344506	4	365	3	4.714459150317855e-09	1.75849326306856e-06	3	0.008
level1	Phosphatidylethanolamine(36:4)_[M+H]1+ levels	344506	75	365	3	7.526106544146439e-05	0.028072377409666217	5	0.012
level1	Phosphatidylethanolamine(36:4)_[M-H]1- levels	344506	87	365	3	0.0001170303469711987	0.043652319420257116	3	0.008
level1	Phosphatidylinositol(34:2)_[M-H]1- levels	344506	91	365	5	5.6044396017761106e-08	2.0904559714624893e-05	32	0.066
level1	Phosphatidylinositol(36:2)_[M-H]1- levels	344506	369	365	5	5.2544867671883734e-05	0.019599235641612634	25	0.052
level1	Phosphatidylcholine(33:2)_[M+H]1+/Phosphatidylethanolamine(36:2)_[M+H]1+/Phosphatidate(38:3)_[M+NH4]1+ levels	344506	88	365	3	0.00012106575032204012	0.045157524870120966	10	0.022
level1	Age-related macular degeneration or COVID-19 hospitalization (MTAG)	344506	53	365	3	2.6565233371022262e-05	0.009908832047391304	5	0.012
level1	Age-related macular degeneration or COVID-19 critical illness (MTAG)	344506	53	365	3	2.6565233371022262e-05	0.009908832047391304	5	0.012
level1	Age-related macular degeneration or COVID-19 infection (MTAG)	344506	53	365	3	2.6565233371022262e-05	0.009908832047391304	5	0.012
level1	COVID-19 infection or age-related macular degeneration (MTAG)	344506	11	365	3	1.934013583104323e-07	7.213870664979125e-05	5	0.012
