geneA	geneB	score	db	level
NME8	DNAI1	0.982	string	1
NME8	DNAI2	0.981	string	1
NME8	DNAH5	0.976	string	1
NME8	DNAH11	0.942	string	1
NME8	CCDC114	0.94	string	1
CTSH	CSTA	0.964	string	1
CTSH	BCL2	0.911	string	1
CTSH	BCL2L1	0.908	string	1
CTSH	BID	0.907	string	1
WNT3	FZD8	0.998	string	1
WNT3	LRP5	0.995	string	1
WNT3	LRP6	0.987	string	1
WNT3	PORCN	0.983	string	1
WNT3	FZD7	0.977	string	1
APH1B	NCSTN	0.999	string	1
APH1B	PSENEN	0.999	string	1
APH1B	PSEN2	0.999	string	1
APH1B	PSEN1	0.999	string	1
APH1B	APH1A	0.975	string	1
LACTB	NSFL1C	0.994	string	1
LACTB	UBXN2A	0.994	string	1
RNF167	UBE2E1	0.943	string	1
PLD2	ARF1	0.991	string	1
PLD2	ARF6	0.983	string	1
PLD2	RALA	0.974	string	1
PLD2	PISD	0.971	string	1
PLD2	PLD3	0.965	string	1
OTULIN	RNF31	0.999	string	1
OTULIN	UBC	0.998	string	1
OTULIN	SNX27	0.994	string	1
OTULIN	SHARPIN	0.977	string	1
OTULIN	UBB	0.976	string	1
FCER1G	FCGR3B	0.999	string	1
FCER1G	TYROBP	0.999	string	1
FCER1G	NCR1	0.999	string	1
FCER1G	FCGR3A	0.999	string	1
FCER1G	CLEC6A	0.999	string	1
BIN1	RIN3	0.999	string	1
BIN1	MYC	0.999	string	1
BIN1	SYNJ1	0.994	string	1
BIN1	DNM2	0.992	string	1
BIN1	DNM1	0.99	string	1
KIF1C	PTPN21	0.928	string	1
KIF1C	KIFBP	0.91	string	1
LAMTOR4	RRAGB	0.999	string	1
LAMTOR4	LAMTOR3	0.999	string	1
LAMTOR4	LAMTOR2	0.999	string	1
LAMTOR4	SLC38A9	0.999	string	1
LAMTOR4	LAMTOR5	0.999	string	1
HLA-E	B2M	0.999	string	1
HLA-E	KLRC1	0.999	string	1
HLA-E	CD8A	0.999	string	1
HLA-E	KLRC2	0.999	string	1
HLA-E	KLRD1	0.999	string	1
PICALM	CLINT1	0.982	string	1
PICALM	CLTC	0.971	string	1
PICALM	UBB	0.95	string	1
PICALM	UBC	0.949	string	1
PICALM	RPS27A	0.949	string	1
PTK2B	SRC	0.999	string	1
PTK2B	PXN	0.999	string	1
PTK2B	BCAR1	0.998	string	1
PTK2B	LPXN	0.994	string	1
PTK2B	LYN	0.99	string	1
PLEKHM1	GABARAP	0.965	string	1
PLEKHM1	ARL8B	0.958	string	1
PLEKHM1	MAP1LC3C	0.947	string	1
PLEKHM1	OSTM1	0.919	string	1
PLEKHM1	CLCN7	0.909	string	1
INPP5D	FCGR2B	0.996	string	1
INPP5D	SHC1	0.99	string	1
INPP5D	LYN	0.98	string	1
INPP5D	GRB2	0.977	string	1
INPP5D	PIK3R1	0.965	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
SLC24A4	TPCN2	0.915	string	1
MS4A6A	MS4A4E	0.987	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
RALA	EXOC8	0.999	string	2
RALA	RALBP1	0.999	string	2
RALA	RALGDS	0.999	string	2
RALA	EXOC2	0.999	string	2
RALA	RGL1	0.989	string	2
OSTM1	CLCN7	0.999	string	2
OSTM1	TCIRG1	0.963	string	2
RIN3	CD2AP	0.973	string	2
RIN3	RAB5B	0.929	string	2
RIN3	RAB5A	0.917	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
INO80B	INO80C	0.997	string	2
ACTR5	RUVBL1	0.999	string	2
ACTR5	INO80C	0.999	string	2
ACTR5	NFRKB	0.999	string	2
ACTR5	INO80	0.999	string	2
LAMTOR5	RRAGC	0.999	string	2
LAMTOR5	RRAGB	0.999	string	2
LAMTOR5	LAMTOR2	0.999	string	2
LAMTOR5	RPTOR	0.999	string	2
LAMTOR5	RRAGA	0.999	string	2
LRP6	WNT3A	0.999	string	2
LRP6	WNT1	0.999	string	2
LRP6	DKK1	0.999	string	2
LRP6	FZD4	0.999	string	2
LRP6	DKK4	0.999	string	2
TYROBP	SIRPB1	0.999	string	2
TYROBP	ZAP70	0.999	string	2
TYROBP	TREM2	0.999	string	2
TYROBP	KLRD1	0.999	string	2
RRAGB	RRAGA	0.999	string	2
RRAGB	RPTOR	0.999	string	2
RRAGB	RRAGC	0.999	string	2
RRAGB	MTOR	0.999	string	2
CSTA	CTSB	0.998	string	2
CSTA	CTSL	0.992	string	2
CSTA	CTSV	0.96	string	2
CSTA	SLC12A8	0.958	string	2
DNAH5	DNAI2	0.997	string	2
DNAH5	DNAI1	0.995	string	2
DNAH5	DNALI1	0.977	string	2
DNAH5	DNAL1	0.968	string	2
PXN	SRC	0.999	string	2
PXN	PTK2	0.999	string	2
PXN	TLN1	0.999	string	2
PXN	TLN2	0.999	string	2
PXN	GIT1	0.999	string	2
RPS27A	RPS21	0.999	string	2
RPS27A	RPL9	0.999	string	2
RPS27A	RPL18	0.999	string	2
RPS27A	RPS24	0.999	string	2
RPS27A	RPL11	0.999	string	2
CRHBP	CRH	0.999	string	2
CRHBP	CRHR1	0.983	string	2
CRHBP	CRHR1-2	0.978	string	2
CRHBP	UCN	0.976	string	2
CRHBP	CRHR2	0.974	string	2
CRH	CRHR1	0.999	string	2
CRH	CRHR1-2	0.999	string	2
CRH	CRHR2	0.999	string	2
CRH	UCN	0.999	string	2
FZD7	WNT5A	0.998	string	2
FZD7	WNT11	0.997	string	2
FZD7	WNT7A	0.995	string	2
FZD7	DVL1	0.992	string	2
FZD7	LRP6	0.989	string	2
NCR1	CD247	0.999	string	2
NCR1	NCR2	0.995	string	2
NCR1	NCR3	0.992	string	2
NCR1	KLRK1	0.986	string	2
LRP5	SOST	0.999	string	2
LRP5	DKK4	0.999	string	2
LRP5	AXIN1	0.999	string	2
LRP5	DKK2	0.999	string	2
LRP5	WNT1	0.999	string	2
TPCN2	TPCN1	0.978	string	2
TPCN2	CD38	0.922	string	2
TPCN2	SLC24A5	0.903	string	2
NCSTN	APH1A	0.999	string	2
NCSTN	PSEN1	0.999	string	2
NCSTN	PSENEN	0.999	string	2
NCSTN	PSEN2	0.999	string	2
UCN	CRHR1-2	0.999	string	2
UCN	CRHR1	0.999	string	2
UCN	CRHR2	0.999	string	2
UCN	UCN2	0.996	string	2
ARF6	CYTH3	0.998	string	2
ARF6	CYTH2	0.998	string	2
ARF6	SPAG9	0.996	string	2
ARF6	CYTH1	0.995	string	2
ARF6	ASAP1	0.991	string	2
UBE2E1	UBA1	0.978	string	2
UBE2E1	TRIM21	0.964	string	2
UBE2E1	UBE2E3	0.96	string	2
UBE2E1	UBE2E2	0.938	string	2
GABARAP	OPTN	0.999	string	2
GABARAP	ATG3	0.999	string	2
GABARAP	BNIP3L	0.999	string	2
GABARAP	ATG4B	0.999	string	2
GABARAP	BNIP3	0.999	string	2
MSL2	MSL3	0.999	string	2
MSL2	MSL1	0.999	string	2
MSL2	KAT5	0.951	string	2
MSL2	MORF4L1	0.93	string	2
UBXN2A	VCP	0.999	string	2
UBXN2A	NSFL1C	0.999	string	2
UBXN2A	ASPSCR1	0.997	string	2
UBXN2A	UBXN10	0.997	string	2
UBXN2A	VCPIP1	0.995	string	2
MSL3	MSL1	0.999	string	2
MSL3	H4C6	0.992	string	2
MSL3	KAT5	0.958	string	2
RNF31	RBCK1	0.999	string	2
RNF31	SHARPIN	0.999	string	2
RNF31	UBC	0.999	string	2
RNF31	IKBKG	0.999	string	2
CCDC114	CCDC151	0.992	string	2
CCDC114	ARMC4	0.988	string	2
CCDC114	TTC25	0.983	string	2
CCDC114	DNAH5	0.965	string	2
CCDC114	DNAI2	0.963	string	2
BID	BAK1	0.999	string	2
BID	BCL2L1	0.999	string	2
BID	BAX	0.998	string	2
BID	BCL2	0.998	string	2
BID	MCL1	0.996	string	2
PORCN	WNT1	0.989	string	2
PORCN	WNT7A	0.982	string	2
PORCN	WNT3A	0.982	string	2
PORCN	WNT5A	0.969	string	2
PSEN1	PSENEN	0.999	string	2
PSEN1	CTNNB1	0.999	string	2
PSEN1	PSEN2	0.999	string	2
PSEN1	APP	0.999	string	2
KLRD1	KLRC1	0.999	string	2
KLRD1	KLRC2	0.999	string	2
KLRD1	HLA-C	0.998	string	2
MAP1LC3C	CALCOCO2	0.999	string	2
MAP1LC3C	ATG4B	0.99	string	2
MAP1LC3C	ATG7	0.972	string	2
MAP1LC3C	ATG3	0.971	string	2
MAP1LC3C	SQSTM1	0.966	string	2
WDR5	H3C12	0.999	string	2
WDR5	H3C13	0.999	string	2
WDR5	DPY30	0.999	string	2
WDR5	KANSL1	0.999	string	2
WDR5	RBBP5	0.999	string	2
FCGR2B	LGALS3	0.992	string	2
FCGR2B	CLEC7A	0.991	string	2
FCGR2B	SYK	0.974	string	2
FCGR2B	INPPL1	0.97	string	2
KIFBP	KIF15	0.981	string	2
KIFBP	KIF18A	0.979	string	2
PSEN2	APH1A	0.999	string	2
PSEN2	PSENEN	0.999	string	2
FCGR3A	CD247	0.999	string	2
FCGR3A	CD19	0.997	string	2
FCGR3A	NCAM1	0.991	string	2
