level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	2410	20	2.92718094697669e-17	5.5206632659980376e-14	17	0.036
level0	White matter microstructure (radial diusivities)	344506	250	2410	16	4.6122037858659725e-11	8.698616340143225e-08	27	0.056
level0	White matter microstructure (axial diusivities)	344506	160	2410	17	2.9223806786327303e-15	5.511609959901329e-12	7	0.016
level0	Hemoglobin concentration	344506	1081	2410	27	2.6882618626791974e-08	5.0700618730129664e-05	43	0.088
level0	White matter microstructure (fractional anisotropy)	344506	240	2410	15	2.564309521710794e-10	4.836287757946557e-07	31	0.064
level0	Neuroticism	344506	1057	2410	32	1.2770736773810355e-11	2.408560955540633e-08	31	0.064
level0	Alzheimer's disease	344506	342	2410	43	1.8812750689813367e-39	3.5480847800988014e-36	9	0.02
level0	Parkinson's disease	344506	374	2410	39	9.463742973071137e-33	1.784861924721217e-29	21	0.044
level0	Alzheimer's disease in APOE e4- carriers	344506	35	2410	6	1.5891682451942018e-07	0.0002997171310436	9	0.02
level0	Chronic hepatitis B infection	344506	19	2410	5	1.7880473679653397e-07	0.0003372257335982	18	0.038
level0	Systemic lupus erythematosus	344506	863	2410	34	1.8794997958673324e-15	3.544736615005789e-12	35	0.072
level0	Coronary artery disease	344506	1580	2410	98	6.1916068429811285e-59	1.1677370505862406e-55	20	0.042
level0	Hepatitis B	344506	50	2410	6	1.4224812313212168e-06	0.0026827996022718	9	0.02
level0	IgA nephropathy	344506	159	2410	12	1.8503346601732131e-09	3.489731169086681e-06	12	0.026
level0	Oligoclonal band status in multiple sclerosis	344506	4	2410	3	1.360510734729447e-06	0.0025659232456997	8	0.018
level0	Rheumatic heart disease	344506	25	2410	6	1.840794492653057e-08	3.471738413143665e-05	2	0.006
level0	Sarcoidosis	344506	146	2410	9	1.082344041491084e-06	0.0020413008622521	11	0.024
level0	Hepatitis C induced liver cirrhosis	344506	5	2410	3	3.383459829968917e-06	0.0063812052393213	8	0.018
level0	Nodular sclerosis Hodgkin lymphoma	344506	14	2410	5	3.1694546358275694e-08	5.977591443170796e-05	11	0.024
level0	Alzheimer's disease (late onset)	344506	123	2410	18	1.3265591950706077e-18	2.5018906419031656e-15	5	0.012
level0	Lymphoma	344506	9	2410	4	2.9269584941832135e-07	0.0005520243720029	12	0.026
level0	Multiple sclerosis (OCB status)	344506	10	2410	6	2.388001858418484e-11	4.5037715049772617e-08	11	0.024
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	2410	10	5.235130900456234e-09	9.873456878260458e-06	2	0.006
level0	Cortical surface area (global PC1)	344506	15	2410	5	4.726565253911409e-08	8.914302068876918e-05	4	0.01
level0	Post bronchodilator FEV1	344506	1182	2410	40	1.043958554156822e-15	1.968905833139766e-12	18	0.038
level0	Post bronchodilator FEV1/FVC ratio	344506	1627	2410	48	2.996130174138202e-16	5.650701508424649e-13	9	0.02
level0	ACPA-positive rheumatoid arthritis (smoking interaction)	344506	15	2410	11	2.5537297961577682e-21	4.816334395553552e-18	15	0.032
level0	Epstein Barr virus nuclear antigen 1 IgG levels	344506	6	2410	3	6.731484687597394e-06	0.0126955801208086	12	0.026
level0	Primary central nervous system lymphoma	344506	7	2410	3	1.1718433330778134e-05	0.0221009652618475	6	0.014
