level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	1138	8	4.0396477603407787e-07	0.0003882101497687	1	0.004
level0	White matter microstructure (radial diusivities)	344506	250	1138	9	2.0281747416416934e-07	0.0001949075926717	0	0.002
level0	Hemoglobin concentration	344506	1081	1138	21	2.0453812372537224e-10	1.9656113690008278e-07	9	0.02
level0	White matter microstructure (fractional anisotropy)	344506	240	1138	10	1.0842339389541121e-08	1.0419488153349016e-05	4	0.01
level0	Alzheimer's disease (late onset)	344506	123	1138	6	3.921476007868313e-06	0.0037685384435614	1	0.004
level0	Parkinson's disease	344506	374	1138	13	6.353099594089247e-10	6.105328709919767e-07	10	0.022
level0	Alzheimer's disease	344506	342	1138	18	2.8662544597135393e-16	2.754470535784712e-13	5	0.012
level0	Neuroticism	344506	1057	1138	16	7.780248384848734e-07	0.0007476818697839	12	0.026
level0	ACPA-positive rheumatoid arthritis (smoking interaction)	344506	15	1138	5	1.1390927673447767e-09	1.0946681494183304e-06	1	0.004
level0	Epstein Barr virus nuclear antigen 1 IgG levels	344506	6	1138	3	7.13676909925894e-07	0.0006858435104387	3	0.008
level0	Immunoglobulin A vasculitis	344506	60	1138	13	2.3322077705009455e-20	2.241251667451409e-17	6	0.014
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	1138	34	2.666901767943476e-40	2.5628925989936804e-37	3	0.008
level0	Family history of Alzheimer's disease	344506	87	1138	12	2.2524830668973885e-16	2.1646362272883905e-13	2	0.006
level0	Response to hepatitis B vaccine	344506	21	1138	3	4.573334006380338e-05	0.043949739801315	6	0.014
level0	Major depressive disorder or stress-related disorder	344506	242	1138	40	1.3882889258866088e-54	1.3341456577770313e-51	8	0.018
level0	Non-lobar intracerebral hemorrhage (MTAG)	344506	42	1138	4	1.1995404800093164e-05	0.0115275840128895	3	0.008
level0	Alzheimer's disease (onset between ages 58 and 79)	344506	28	1138	4	2.2765200214395222e-06	0.0021877357406033	0	0.002
level0	Depressed affect	344506	157	1138	8	6.845231886800838e-08	6.578267843215604e-05	1	0.004
level0	General factor of neuroticism	344506	308	1138	9	1.150286422616443e-06	0.0011054252521344	13	0.028
level0	Extraintestinal manifestations in inflammatory bowel disease (primary sclerosing cholangitis)	344506	10	1138	3	4.239925826615373e-06	0.0040745687193773	1	0.004
level0	Inguinal hernia	344506	2192	1138	45	1.3516240895148549e-21	1.2989107500237756e-18	16	0.034
level0	Ubiquitin carboxyl-terminal hydrolase 25 levels (USP25.9215.117.3)	344506	15	1138	4	1.570507293222927e-07	0.0001509257508787	5	0.012
level0	Succinylcarnitine levels	344506	18	1138	5	3.223372792085362e-09	3.0976612531940328e-06	1	0.004
level0	Aspartylphenylalanine levels	344506	2	1138	2	1.0902106176474466e-05	0.0104769240355919	0	0.002
level0	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	344506	477	1138	13	1.151568271115972e-08	1.106657108542449e-05	0	0.002
level0	Hypothyroidism or rheumatoid arthritis (pleiotropy)	344506	1035	1138	140	2.243902124622415e-176	2.1563899417621406e-173	19	0.04
level0	Seropositivity for staphylococcus aureus subsp. aureus MRSA252 peptide (agilent_24484)	344506	2	1138	2	1.0902106176474466e-05	0.0104769240355919	1	0.004
level0	Seropositivity for streptococcus pneumoniae peptide (agilent_229734)	344506	3	1138	2	3.263441926597593e-05	0.0313616769146028	0	0.002
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_1075)	344506	3	1138	2	3.263441926597593e-05	0.0313616769146028	0	0.002
level0	Seropositivity for gallus peptide (twist_24274)	344506	7	1138	3	1.245850044865572e-06	0.0011972618931158	4	0.01
level0	Seropositivity for oryza sativa (rice) peptide (twist_19685)	344506	3	1138	2	3.263441926597593e-05	0.0313616769146028	0	0.002
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (twist_32108)	344506	3	1138	2	3.263441926597593e-05	0.0313616769146028	0	0.002
level0	Seropositivity for lactobacillus phage LFEINF peptide (twist_64023)	344506	18	1138	3	2.8267430957446337e-05	0.0271650011501059	3	0.008
level0	Seropositivity for human mastadenovirus peptide (agilent_329)	344506	2	1138	2	1.0902106176474466e-05	0.0104769240355919	0	0.002
level0	Seropositivity for mycobacterium tuberculosis peptide (agilent_10341)	344506	2	1138	2	1.0902106176474466e-05	0.0104769240355919	0	0.002
level0	Seropositivity for human twist-related protein 1 peptide (twist_46270)	344506	2	1138	2	1.0902106176474466e-05	0.0104769240355919	0	0.002
level0	Seropositivity for staphylococcus aureus subsp. aureus strain newman peptide (agilent_239239)	344506	3	1138	2	3.263441926597593e-05	0.0313616769146028	1	0.004
level0	Seropositivity for staphylococcus aureus peptide (agilent_222381)	344506	47	1138	4	1.886588483194829e-05	0.0181301153235023	2	0.006
level1	White matter microstructure (radial diusivities)	344506	250	709	6	1.5518033230952633e-05	0.0121506200198359	11	0.024
level1	Hemoglobin concentration	344506	1081	709	11	2.0155833217091795e-05	0.0157820174089828	8	0.018
level1	Household income	344506	70	709	4	1.4641326721208149e-05	0.0114641588227059	1	0.004
level1	Neuroticism	344506	1057	709	13	4.628528503635599e-07	0.0003624137818346	19	0.04
level1	Osteoarthrosis (time to event)	344506	5	709	2	4.21214888761776e-05	0.032981125790047	5	0.012
level1	Parkinson's disease	344506	374	709	18	3.7903748487505937e-19	2.9678635065717153e-16	19	0.04
level1	Corticobasal degeneration	344506	6	709	2	6.30958343147067e-05	0.0494040382684153	4	0.01
level1	Serum galactose-deficient IgA1 levels	344506	4	709	2	2.5307506100653905e-05	0.019815777276812	12	0.026
