level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	General cognitive ability	344506	1258	1170	15	3.810581392813515e-05	0.0387917185788415	15.0	0.032
level0	White matter microstructure (mean diusivities)	344506	198	1170	22	2.0026062223352304e-26	2.0386531343372645e-23	9.0	0.02
level0	White matter microstructure (radial diusivities)	344506	250	1170	20	2.916517637185691e-21	2.9690149546550335e-18	12.0	0.026
level0	White matter microstructure (axial diusivities)	344506	160	1170	16	7.284348881020605e-19	7.415467160878978e-16	5.0	0.012
level0	Hemoglobin concentration	344506	1081	1170	22	5.3749882663949054e-11	5.471738055190013e-08	14.0	0.03
level0	White matter microstructure (fractional anisotropy)	344506	240	1170	17	2.1402742992728598e-17	2.178799236659771e-14	12.0	0.026
level0	Neuroticism	344506	1057	1170	34	3.4189391682453537e-22	3.48048007327377e-19	18.0	0.038
level0	Parkinson's disease	344506	374	1170	29	8.905208328565517e-30	9.065502078479695e-27	23.0	0.048
level0	Systemic lupus erythematosus	344506	863	1170	17	1.2858622184456561e-08	1.3090077383776778e-05	30.0	0.062
level0	Alzheimer's disease	344506	342	1170	18	4.605982606365224e-16	4.688890293279799e-13	1.0	0.004
level0	Ovarian cancer in BRCA1 mutation carriers	344506	8	1170	3	2.1603424991112307e-06	0.0021992286640952	4.0	0.01
level0	Multiple sclerosis (OCB status)	344506	10	1170	3	4.605834299945377e-06	0.0046887393173443	26.0	0.054
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	1170	6	2.0443309260478063e-06	0.0020811288827166	2.0	0.006
level0	Cortical surface area (global PC1)	344506	15	1170	5	1.307810653630352e-09	1.3313512453956984e-06	7.0	0.016
level0	White matter hyperintensities	344506	36	1170	4	7.149423308949149e-06	0.0072781129285102	7.0	0.016
level0	HLA DR on CD33dim HLA DR+ CD11b-	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	4.0	0.01
level0	IDP T1 SIENAX white normalised volume	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	1.0	0.004
level0	IDP T1 SIENAX white unnormalised volume	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	1.0	0.004
level0	aparc-Desikan rh area TotalSurface	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	0.0	0.002
level0	IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L	344506	2	1170	2	1.1524127465239234e-05	0.0117315617596135	5.0	0.012
level0	IDP dMRI ProbtrackX MD atr l	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	4.0	0.01
level0	IDP dMRI TBSS L3 Anterior limb of internal capsule R	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	5.0	0.012
level0	IDP dMRI TBSS ICVF Superior fronto-occipital fasciculus R	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	4.0	0.01
level0	aparc-Desikan lh area TotalSurface	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	4.0	0.01
level0	IDP dMRI ProbtrackX L1 ptr l	344506	2	1170	2	1.1524127465239234e-05	0.0117315617596135	5.0	0.012
level0	IDP dMRI ProbtrackX L1 str r	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	5.0	0.012
level0	aseg global volume BrainSegNotVentSurf	344506	3	1170	2	3.4494240004945834e-05	0.0351151363250348	1.0	0.004
level0	aseg global volume SupraTentorialNotVent	344506	2	1170	2	1.1524127465239234e-05	0.0117315617596135	1.0	0.004
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	1170	24	6.506033200060824e-25	6.623141797661919e-22	8.0	0.018
level0	Family history of Alzheimer's disease	344506	87	1170	7	2.3615890403757252e-08	2.404097643102488e-05	4.0	0.01
level0	Experiencing mood swings	344506	69	1170	6	1.5132277957338781e-07	0.0001540465896057	4.0	0.01
level0	Feeling hurt	344506	46	1170	4	1.9278445563055185e-05	0.0196254575831901	4.0	0.01
level0	Feeling worry	344506	71	1170	5	4.8435952070779446e-06	0.0049307799208053	10.0	0.022
level0	Irritable mood	344506	67	1170	8	9.442250758116451e-11	9.612211271762549e-08	9.0	0.02
level0	Neurociticism	344506	181	1170	6	4.106542139003881e-05	0.0418045989750595	1.0	0.004
level0	Feeling nervous	344506	67	1170	5	3.6333633965607553e-06	0.0036987639376988	7.0	0.016
level0	Feeling guilty	344506	29	1170	6	6.731882130880743e-10	6.853056009236598e-07	8.0	0.018
level0	Major depressive disorder or stress-related disorder	344506	242	1170	10	1.519511924696653e-08	1.5468631393411928e-05	9.0	0.02
level0	Alpha-L-iduronidase levels (IDUA.3169.70.2)	344506	7	1170	3	1.3536508633716908e-06	0.0013780165789123	5.0	0.012
level0	Non-lobar intracerebral hemorrhage (MTAG)	344506	42	1170	5	3.43335204698425e-07	0.0003495152383829	3.0	0.008
level0	Depressed affect	344506	157	1170	15	1.7946663929616372e-17	1.8269703880349463e-14	6.0	0.014
level0	Worry	344506	147	1170	10	1.226256955612465e-10	1.2483295808134896e-07	10.0	0.022
level0	General factor of neuroticism	344506	308	1170	20	1.8289959282931471e-19	1.8619178550024239e-16	13.0	0.028
level0	Alzheimer's disease (age of onset) in APOE e4 non-carriers	344506	9	1170	3	3.2322877479255407e-06	0.0032904689273882	4.0	0.01
level0	Schizophrenia or ER positive breast cancer (pleiotropy)	344506	17	1170	3	2.5639852504378183e-05	0.0261013698494569	0.0	0.002
level0	Succinylcarnitine levels	344506	18	1170	5	3.699945742839396e-09	3.766544766210505e-06	7.0	0.016
level0	Triacylglycerol (50:2) [NL-18:2] levels	344506	7	1170	3	1.3536508633716908e-06	0.0013780165789123	7.0	0.016
level0	Cathepsin H levels	344506	13	1170	4	9.235225577411793e-08	9.401459637805204e-05	2.0	0.006
level0	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	344506	477	1170	10	7.230576300744086e-06	0.0073607266741574	0.0	0.002
level0	Disruptive behavior (multivariate analysis)	344506	50	1170	4	2.691526299678083e-05	0.0273997377307228	1.0	0.004
level0	Pro-cathepsin H levels	344506	2	1170	2	1.1524127465239234e-05	0.0117315617596135	2.0	0.006
level0	Posterolateral temporal area (unadjusted for global measures)	344506	33	1170	5	9.82481543859323e-08	0.0001000166211648	6.0	0.014
level0	Dorsomedial frontal area (unadjusted for global measures)	344506	54	1170	5	1.2340491734874106e-06	0.0012562620586101	4.0	0.01
level0	Parsopercularis area (unadjusted for global measures)	344506	46	1170	4	1.9278445563055185e-05	0.0196254575831901	4.0	0.01
level0	Occipital area (unadjusted for global measures)	344506	45	1170	5	4.889652986304646e-07	0.0004977666740058	4.0	0.01
level0	Anteromedial temporal area (unadjusted for global measures)	344506	29	1170	4	2.9377688478036787e-06	0.0029906486870641	2.0	0.006
level0	Dorsolateral prefrontal area (unadjusted for global measures)	344506	48	1170	5	6.795297863352736e-07	0.0006917613224893	4.0	0.01
level0	COVID-19 severity	344506	47	1170	7	2.8601342881742693e-10	2.911616705361406e-07	5.0	0.012
level0	Motor premotor area (unadjusted for global measures)	344506	39	1170	5	2.3434953748218882e-07	0.0002385678291568	4.0	0.01
level0	Inferior parietal area (unadjusted for global measures)	344506	45	1170	5	4.889652986304646e-07	0.0004977666740058	4.0	0.01
level0	Superior parietal area (unadjusted for global measures)	344506	30	1170	4	3.3805805717953044e-06	0.0034414310220876	4.0	0.01
level0	Medial temporal thickness (unadjusted for global measures)	344506	15	1170	3	1.7243400636167973e-05	0.0175537818476189	8.0	0.018
level0	Inferior parietal thickness (unadjusted for global measures)	344506	21	1170	4	7.564818814795358e-07	0.0007700985553461	4.0	0.01
