level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	General cognitive ability	344506	1258	785	13	9.144867993615984e-06	0.0071329970350204	4	0.01
level0	White matter microstructure (mean diusivities)	344506	198	785	17	1.0580264114152539e-21	8.2526060090389815e-19	15	0.032
level0	White matter microstructure (radial diusivities)	344506	250	785	15	5.746357052639971e-17	4.4821585010591774e-14	13	0.028
level0	White matter microstructure (axial diusivities)	344506	160	785	13	1.3042969177039718e-16	1.0173515958090981e-13	4	0.01
level0	White matter microstructure (fractional anisotropy)	344506	240	785	11	1.511149196021486e-11	1.178696372896759e-08	16	0.034
level0	Hemoglobin concentration	344506	1081	785	21	2.1710670651412905e-13	1.6934323108102063e-10	34	0.07
level0	Household income	344506	70	785	4	2.1766432500734216e-05	0.0169778173505726	6	0.014
level0	Neuroticism	344506	1057	785	36	4.1476858845074784e-30	3.235194989915833e-27	15	0.032
level0	Snoring	344506	72	785	4	2.433466931015456e-05	0.0189810420619205	1	0.004
level0	Osteoarthrosis (time to event)	344506	5	785	2	5.162001375072087e-05	0.0402636107255622	6	0.014
level0	Parkinson's disease	344506	374	785	24	5.4497481579531786e-27	4.25080356320348e-24	31	0.064
level0	Warfarin maintenance dose	344506	27	785	3	3.309403299315483e-05	0.0258133457346607	3	0.008
level0	Ovarian cancer in BRCA1 mutation carriers	344506	8	785	3	6.544097572979277e-07	0.0005104396106923	2	0.006
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	785	5	5.320631183528271e-06	0.004150092323152	1	0.004
level0	Cortical surface area (global PC1)	344506	15	785	5	1.787266067601461e-10	1.39406753272914e-07	5	0.012
level0	IDP dMRI TBSS MD Anterior limb of internal capsule R	344506	4	785	2	3.1018991291938e-05	0.0241948132077116	4	0.01
level0	BA-exvivo rh area V2	344506	5	785	2	5.162001375072087e-05	0.0402636107255622	4	0.01
level0	IDP T1 SIENAX brain-unnormalised volume	344506	4	785	2	3.1018991291938e-05	0.0241948132077116	3	0.008
level0	IDP T1 SIENAX white normalised volume	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	2	0.006
level0	IDP T1 SIENAX white unnormalised volume	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	2	0.006
level0	IDP T1 SIENAX brain-normalised volume	344506	4	785	2	3.1018991291938e-05	0.0241948132077116	3	0.008
level0	aparc-Desikan rh area TotalSurface	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	2	0.006
level0	IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L	344506	2	785	2	5.185532968847352e-06	0.0040447157157009	2	0.006
level0	IDP dMRI TBSS L3 Genu of corpus callosum	344506	4	785	2	3.1018991291938e-05	0.0241948132077116	2	0.006
level0	IDP dMRI ProbtrackX MD atr l	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	7	0.016
level0	IDP dMRI TBSS L3 Anterior limb of internal capsule R	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	3	0.008
level0	IDP dMRI TBSS ICVF Superior fronto-occipital fasciculus R	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	2	0.006
level0	aparc-Desikan lh area TotalSurface	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	3	0.008
level0	IDP dMRI ProbtrackX L1 ptr l	344506	2	785	2	5.185532968847352e-06	0.0040447157157009	3	0.008
level0	IDP dMRI ProbtrackX L1 str r	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	7	0.016
level0	aseg global volume BrainSegNotVentSurf	344506	3	785	2	1.5533027210684506e-05	0.0121157612243339	3	0.008
level0	aseg global volume SupraTentorialNotVent	344506	2	785	2	5.185532968847352e-06	0.0040447157157009	3	0.008
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	785	12	1.240652165226096e-11	9.677086888763551e-09	3	0.008
level0	Family history of Alzheimer's disease	344506	87	785	5	1.9201391377129515e-06	0.0014977085274161	0	0.002
level0	Feeling miserable	344506	64	785	4	1.5247782415498249e-05	0.0118932702840886	6	0.014
level0	Experiencing mood swings	344506	69	785	8	5.188360719477169e-12	4.0469213611921924e-09	8	0.018
level0	Feeling hurt	344506	46	785	5	7.69485276259473e-08	6.0019851548238894e-05	8	0.018
level0	Feeling worry	344506	71	785	5	6.972692594416561e-07	0.0005438700223644	12	0.026
level0	Irritable mood	344506	67	785	8	4.063441591908175e-12	3.169484441688376e-09	12	0.026
level0	Neurociticism	344506	181	785	7	2.473503758488588e-07	0.0001929332931621	1	0.004
level0	Feeling nervous	344506	67	785	5	5.211153200180907e-07	0.0004064699496141	7	0.016
level0	Feeling guilty	344506	29	785	7	4.640179974667452e-13	3.6193403802406116e-10	10	0.022
level0	Feeling fed-up	344506	60	785	4	1.1787202763468236e-05	0.0091940181555052	6	0.014
level0	Alzheimer's disease	344506	342	785	16	2.676741110419628e-16	2.0878580661273106e-13	1	0.004
level0	Depressed affect	344506	157	785	16	9.946551241590649e-22	7.758309968440709e-19	9	0.02
level0	Worry	344506	147	785	9	8.227403857978455e-11	6.417375009223194e-08	10	0.022
level0	General factor of neuroticism	344506	308	785	20	7.836283187426076e-23	6.112300886192339e-20	12	0.026
level0	Alzheimer's disease or gastroesophageal reflux disease	344506	186	785	6	5.1401252712052784e-06	0.0040092977115401	0	0.002
level0	Inguinal hernia	344506	2192	785	23	2.924880816414517e-09	2.2814070368033235e-06	11	0.024
level0	Schizophrenia or ER positive breast cancer (pleiotropy)	344506	17	785	3	7.825595251269117e-06	0.0061039642959899	3	0.008
level0	Suicidal thoughts and behaviors	344506	21	785	3	1.5202158488385569e-05	0.0118576836209407	3	0.008
level0	Posterolateral temporal area (unadjusted for global measures)	344506	33	785	4	1.0386547828863151e-06	0.0008101507306513	8	0.018
level0	Dorsomedial frontal area (unadjusted for global measures)	344506	54	785	5	1.748744378721086e-07	0.0001364020615402	3	0.008
level0	Parsopercularis area (unadjusted for global measures)	344506	46	785	4	4.0456991425259614e-06	0.0031556453311702	4	0.01
level0	Occipital area (unadjusted for global measures)	344506	45	785	4	3.700590389878087e-06	0.0028864605041049	8	0.018
level0	Middle temporal thickness (unadjusted for global measures)	344506	23	785	4	2.288727921892947e-07	0.0001785207779076	3	0.008
level0	Anteromedial temporal area (unadjusted for global measures)	344506	29	785	4	6.072461919585532e-07	0.0004736520297276	3	0.008
level0	Dorsolateral prefrontal area (unadjusted for global measures)	344506	48	785	5	9.576014900599146e-08	7.469291622467334e-05	5	0.012
level0	COVID-19 severity	344506	47	785	7	1.8044134543979095e-11	1.4074424944303697e-08	12	0.026
level0	Motor premotor area (unadjusted for global measures)	344506	39	785	5	3.2749927965234495e-08	2.5544943812882904e-05	7	0.016
level0	Inferior parietal area (unadjusted for global measures)	344506	45	785	5	6.871393646666247e-08	5.359687044399673e-05	7	0.016
level0	Dorsolateral prefrontal thickness (unadjusted for global measures)	344506	23	785	4	2.288727921892947e-07	0.0001785207779076	2	0.006
level0	Superior parietal area (unadjusted for global measures)	344506	30	785	4	6.994002672639423e-07	0.0005455322084658	11	0.024
level0	Medial temporal thickness (unadjusted for global measures)	344506	15	785	3	5.254093427160239e-06	0.0040981928731849	2	0.006
level0	Inferior parietal thickness (unadjusted for global measures)	344506	21	785	4	1.5525459299148833e-07	0.0001210985825333	4	0.01
level0	Ventromedial occipital thickness (unadjusted for global measures)	344506	32	785	4	9.144122180681948e-07	0.0007132415300931	4	0.01
level0	Ventral frontal thickness (unadjusted for global measures)	344506	29	785	4	6.072461919585532e-07	0.0004736520297276	4	0.01
level0	Post-traumatic stress disorder symptom severity (total)	344506	26	785	3	2.9466955257170127e-05	0.0229842251005926	2	0.006
level0	Breast cancer or hospitalized COVID-19 (pleiotropy)	344506	7	785	3	4.0970328787166666e-07	0.0003195685645399	5	0.012
level0	Breast cancer or critical COVID-19 (pleiotropy)	344506	6	785	3	2.345152820279049e-07	0.0001829219199817	5	0.012
level0	Ovarian cancer or hospitalized COVID-19 (pleiotropy)	344506	6	785	3	2.345152820279049e-07	0.0001829219199817	7	0.016
level0	Ovarian cancer or critical COVID-19 (pleiotropy)	344506	4	785	3	4.7063138827677504e-08	3.670924828558845e-05	8	0.018
level1	White matter microstructure (mean diusivities)	344506	198	517	12	4.81303872180506e-16	2.45464974812058e-13	10	0.022
level1	White matter microstructure (radial diusivities)	344506	250	517	9	2.37631420829844e-10	1.2119202462322042e-07	11	0.024
level1	White matter microstructure (axial diusivities)	344506	160	517	8	1.7795455834301898e-10	9.07568247549397e-08	4	0.01
level1	Cortical thickness	344506	632	517	8	6.5031110076283446e-06	0.0033165866138904	6	0.014
level1	Intracranial volume	344506	9	517	2	8.035636803147128e-05	0.0409817476960503	4	0.01
level1	White matter microstructure (fractional anisotropy)	344506	240	517	8	4.360304218121706e-09	2.22375515124207e-06	9	0.02
level1	Hemoglobin concentration	344506	1081	517	13	1.6251654875345564e-08	8.288343986426238e-06	21	0.044
level1	Household income	344506	70	517	4	4.249489646799812e-06	0.0021672397198679	4	0.01
level1	Neuroticism	344506	1057	517	23	1.812485220853273e-19	9.243674626351692e-17	20	0.042
level1	Osteoarthrosis (time to event)	344506	5	517	2	2.2410367598162427e-05	0.0114292874750628	4	0.01
level1	Parkinson's disease	344506	374	517	18	1.4323654084298113e-21	7.305063582992038e-19	19	0.04
level1	Ovarian cancer in BRCA1 mutation carriers	344506	8	517	3	1.87119056522126e-07	9.543071882628426e-05	4	0.01
level1	Cortical surface area (global PC1)	344506	15	517	4	6.754147648039427e-09	3.444615300500108e-06	4	0.01
level1	Corticobasal degeneration	344506	6	517	2	3.358206238095586e-05	0.0171268518142874	4	0.01
level1	IDP dMRI TBSS MD Anterior limb of internal capsule R	344506	4	517	2	1.345963116557692e-05	0.0068644118944442	4	0.01
level1	IDP dMRI TBSS ICVF Anterior corona radiata R	344506	8	517	2	6.256170056946592e-05	0.0319064672904276	4	0.01
level1	IDP dMRI TBSS ICVF Posterior limb of internal capsule R	344506	8	517	2	6.256170056946592e-05	0.0319064672904276	4	0.01
level1	BA-exvivo rh area V2	344506	5	517	2	2.2410367598162427e-05	0.0114292874750628	4	0.01
level1	IDP T1 SIENAX brain-unnormalised volume	344506	4	517	2	1.345963116557692e-05	0.0068644118944442	4	0.01
level1	IDP T1 SIENAX white normalised volume	344506	3	517	2	6.736528401421756e-06	0.003435629484725	4	0.01
level1	IDP T1 SIENAX white unnormalised volume	344506	3	517	2	6.736528401421756e-06	0.003435629484725	4	0.01
level1	IDP T1 SIENAX brain-normalised volume	344506	4	517	2	1.345963116557692e-05	0.0068644118944442	4	0.01
level1	aparc-Desikan rh area TotalSurface	344506	3	517	2	6.736528401421756e-06	0.003435629484725	4	0.01
