geneA	geneB	score	db	level
NECTIN2	AFDN	0.999	string	1
NECTIN2	NECTIN3	0.999	string	1
NECTIN2	CD226	0.999	string	1
NECTIN2	TIGIT	0.999	string	1
NECTIN2	CD96	0.999	string	1
BIN1	RIN3	0.999	string	1
BIN1	MYC	0.999	string	1
BIN1	SYNJ1	0.994	string	1
BIN1	DNM2	0.992	string	1
BIN1	DNM1	0.99	string	1
TUFT1	AMBN	0.992	string	1
TUFT1	TFIP11	0.984	string	1
TUFT1	ENAM	0.981	string	1
TUFT1	AMELX	0.908	string	1
HLA-DQA2	CD74	0.992	string	1
HLA-DQA2	HLA-DQB1	0.985	string	1
HLA-DQA2	CD4	0.961	string	1
HLA-DQA2	HLA-DRB1	0.955	string	1
HLA-DQA2	HLA-DQB2	0.942	string	1
SIRPB1	TYROBP	0.999	string	1
SIRPB1	CD47	0.993	string	1
SIRPB1	SIRPA	0.918	string	1
VKORC1	GGCX	0.998	string	1
VKORC1	CYP2C9	0.98	string	1
VKORC1	CYP4F2	0.967	string	1
VKORC1	VKORC1L1	0.949	string	1
VKORC1	NQO1	0.942	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
APOC2	APOC3	0.999	string	1
APOC2	APOE	0.999	string	1
APOC2	APOC1	0.999	string	1
APOC2	LPL	0.998	string	1
APOC2	APOA1	0.997	string	1
APOC4	APOC1	0.99	string	1
APOC4	APOE	0.957	string	1
APOC4	APOA2	0.947	string	1
APOC4	APOA5	0.929	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
CD74	CD44	0.999	string	2
CD74	MIF	0.999	string	2
CD74	HLA-DRA	0.999	string	2
CD74	HLA-DQB1	0.997	string	2
CD74	FAU	0.997	string	2
CD4	LCK	0.999	string	2
CD4	CCR5	0.999	string	2
CD4	CD8A	0.999	string	2
CD4	ITIH4	0.999	string	2
CD4	CXCR4	0.999	string	2
RIN3	CD2AP	0.973	string	2
RIN3	RAB5B	0.929	string	2
RIN3	RAB5A	0.917	string	2
CYP4F2	CYP4F3	0.977	string	2
CYP4F2	CYP2C9	0.974	string	2
CYP4F2	CYP2C19	0.956	string	2
CYP4F2	CYP2C8	0.951	string	2
APOC3	APOC1	0.999	string	2
APOC3	APOE	0.999	string	2
APOC3	APOB	0.999	string	2
APOC3	APOA2	0.999	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
