level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	General cognitive ability	344506	1258	1256	18	1.4685507522151236e-06	0.0019752007617293	19	0.04
level0	White matter microstructure (mean diusivities)	344506	198	1256	16	6.836477464813518e-17	9.195062190174182e-14	18	0.038
level0	White matter microstructure (radial diusivities)	344506	250	1256	13	1.488157232340055e-11	2.001571477497374e-08	18	0.038
level0	White matter microstructure (axial diusivities)	344506	160	1256	15	6.744987431140705e-17	9.07200809488425e-14	17	0.036
level0	White matter microstructure (fractional anisotropy)	344506	240	1256	9	3.2639867016937414e-07	0.0004390062113778	21	0.044
level0	Neuroticism	344506	1057	1256	35	3.1981669369491278e-22	4.301534530196576e-19	19	0.04
level0	Parkinson's disease	344506	374	1256	31	1.0685108962261172e-31	1.4371471554241275e-28	24	0.05
level0	Sarcoidosis	344506	146	1256	8	8.249678858678694e-08	0.0001109581806492	18	0.038
level0	Rheumatoid arthritis	344506	552	1256	12	1.2891300112248008e-06	0.0017338798650973	11	0.024
level0	Ulcerative colitis	344506	307	1256	8	2.0893063956827195e-05	0.0281011710219325	20	0.042
level0	IgA nephropathy	344506	159	1256	11	2.5605219670938682e-11	3.443902045741253e-08	9	0.02
level0	Systemic lupus erythematosus	344506	863	1256	16	1.991313535929714e-07	0.0002678316705825	24	0.05
level0	Chronic hepatitis C infection	344506	14	1256	4	1.709614714716528e-07	0.0002299431791293	7	0.016
level0	Nodular sclerosis Hodgkin lymphoma	344506	14	1256	4	1.709614714716528e-07	0.0002299431791293	4	0.01
level0	Ovarian cancer in BRCA1 mutation carriers	344506	8	1256	3	2.670563761439173e-06	0.0035919082591356	11	0.024
level0	Lymphoma	344506	9	1256	3	3.994928174021875e-06	0.0053731783940594	10	0.022
level0	Multiple sclerosis (OCB status)	344506	10	1256	4	3.62858192065864e-08	4.880442683285871e-05	15	0.032
level0	Hepatitis C (spontaneous viral clearance)	344506	18	1256	4	5.165763918995222e-07	0.0006947952471048	8	0.018
