geneA	geneB	score	db	level
NME8	DNAI1	0.982	string	1
NME8	DNAI2	0.981	string	1
NME8	DNAH5	0.976	string	1
NME8	DNAH11	0.942	string	1
NME8	CCDC114	0.94	string	1
CTSH	CSTA	0.964	string	1
CTSH	BCL2	0.911	string	1
CTSH	BCL2L1	0.908	string	1
CTSH	BID	0.907	string	1
WNT3	FZD8	0.998	string	1
WNT3	LRP5	0.995	string	1
WNT3	LRP6	0.987	string	1
WNT3	PORCN	0.983	string	1
WNT3	FZD7	0.977	string	1
EXOC3L2	EXOC4	0.951	string	1
APOE	APOB	0.999	string	1
APOE	APOC3	0.999	string	1
APOE	LRP2	0.999	string	1
APOE	APOA2	0.999	string	1
APH1B	NCSTN	0.999	string	1
APH1B	PSENEN	0.999	string	1
APH1B	PSEN2	0.999	string	1
APH1B	PSEN1	0.999	string	1
APH1B	APH1A	0.975	string	1
LACTB	NSFL1C	0.994	string	1
LACTB	UBXN2A	0.994	string	1
OTULIN	RNF31	0.999	string	1
OTULIN	UBC	0.998	string	1
OTULIN	SNX27	0.994	string	1
OTULIN	SHARPIN	0.977	string	1
OTULIN	UBB	0.976	string	1
FCER1G	FCGR3B	0.999	string	1
FCER1G	TYROBP	0.999	string	1
FCER1G	NCR1	0.999	string	1
FCER1G	FCGR3A	0.999	string	1
FCER1G	CLEC6A	0.999	string	1
ACE	AGT	0.999	string	1
ACE	KNG1	0.995	string	1
ACE	REN	0.987	string	1
ACE	AGTR1	0.974	string	1
ACE	ACE2	0.956	string	1
AZGP1	PIP	0.999	string	1
CIAO2A	CIAO1	0.999	string	1
CIAO2A	MMS19	0.996	string	1
CIAO2A	CIAO3	0.991	string	1
CIAO2A	CIAO2B	0.965	string	1
LILRB1	HLA-F	0.999	string	1
LILRB1	HLA-A	0.999	string	1
LILRB1	HLA-G	0.999	string	1
LILRB1	B2M	0.999	string	1
LILRB1	HLA-C	0.997	string	1
MAPT	CDK5	0.999	string	1
MAPT	GSK3B	0.999	string	1
MAPT	TUBA1B	0.995	string	1
MAPT	APP	0.995	string	1
MAPT	TUBB2B	0.994	string	1
HLA-DRB1	HLA-DMA	0.999	string	1
HLA-DRB1	HLA-DRA	0.999	string	1
HLA-DRB1	HLA-DMB	0.997	string	1
HLA-DRB1	CD74	0.995	string	1
HLA-DRB1	CD4	0.994	string	1
CD55	C3	0.999	string	1
CD55	ADGRE5	0.999	string	1
CD55	ADGRE2	0.998	string	1
CD55	C4A	0.995	string	1
CD55	C4B	0.992	string	1
PLEKHA1	PTPN13	0.971	string	1
PLEKHA1	ARMS2	0.915	string	1
HLA-E	B2M	0.999	string	1
HLA-E	KLRC1	0.999	string	1
HLA-E	CD8A	0.999	string	1
HLA-E	KLRC2	0.999	string	1
HLA-E	KLRD1	0.999	string	1
NDUFAF6	NDUFAF5	0.988	string	1
NDUFAF6	NDUFAF1	0.958	string	1
NDUFAF6	NDUFAF4	0.926	string	1
NDUFAF6	NDUFAF2	0.913	string	1
NDUFAF6	NDUFAF3	0.905	string	1
PTK2B	SRC	0.999	string	1
PTK2B	PXN	0.999	string	1
PTK2B	BCAR1	0.998	string	1
PTK2B	LPXN	0.994	string	1
PTK2B	LYN	0.99	string	1
PLEKHM1	GABARAP	0.965	string	1
PLEKHM1	ARL8B	0.958	string	1
PLEKHM1	MAP1LC3C	0.947	string	1
PLEKHM1	OSTM1	0.919	string	1
PLEKHM1	CLCN7	0.909	string	1
TAF6	TAF9B	0.999	string	1
TAF6	TADA3	0.999	string	1
TAF6	TAF11	0.999	string	1
TAF6	TAF1	0.999	string	1
TAF6	TAF13	0.999	string	1
PVR	TIGIT	0.999	string	1
PVR	CD226	0.999	string	1
PVR	CD96	0.999	string	1
PVR	NECTIN3	0.99	string	1
PVR	CTLA4	0.95	string	1
INPP5D	FCGR2B	0.996	string	1
INPP5D	SHC1	0.99	string	1
INPP5D	LYN	0.98	string	1
INPP5D	GRB2	0.977	string	1
INPP5D	PIK3R1	0.965	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EPHX2	CYP2J2	0.981	string	1
EPHX2	CYP2C8	0.973	string	1
EPHX2	CYP2C9	0.967	string	1
EPHX2	CYP2B6	0.944	string	1
EPHX2	PNP	0.927	string	1
CELF1	HNRNPC	0.998	string	1
CELF1	RALY	0.995	string	1
CELF1	MBNL1	0.985	string	1
CELF1	CLCN1	0.931	string	1
CELF1	DMPK	0.925	string	1
KCTD13	CUL3	0.996	string	1
KCTD13	UBXN7	0.995	string	1
KCTD13	FAF1	0.994	string	1
KCTD13	TNFAIP1	0.989	string	1
KCTD13	KCTD10	0.979	string	1
EARS2	FAU	0.99	string	1
EARS2	MARS1	0.983	string	1
EARS2	MARS2	0.977	string	1
EARS2	EPRS1	0.968	string	1
EARS2	LARS2	0.964	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
TMEM219	IGFBP3	0.974	string	1
KCNH6	SIGMAR1	0.944	string	1
KCNH6	EBP	0.901	string	1
APOC2	APOC3	0.999	string	1
APOC2	APOC1	0.999	string	1
APOC2	LPL	0.998	string	1
APOC2	APOA1	0.997	string	1
DOC2A	UNC13B	0.92	string	1
DCAF7	DYRK1A	0.997	string	1
DCAF7	DDB1	0.995	string	1
DCAF7	PAX6	0.993	string	1
DCAF7	DYRK1B	0.989	string	1
DCAF7	CUL4B	0.984	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
CHRNE	CHRNA1	0.941	string	1
CHRNE	RAPSN	0.915	string	1
CD74	CD44	0.999	string	2
CD74	MIF	0.999	string	2
CD74	HLA-DRA	0.999	string	2
CD74	HLA-DQB1	0.997	string	2
CD74	FAU	0.997	string	2
CD4	LCK	0.999	string	2
CD4	CCR5	0.999	string	2
CD4	CD8A	0.999	string	2
CD4	ITIH4	0.999	string	2
CD4	CXCR4	0.999	string	2
OSTM1	CLCN7	0.999	string	2
OSTM1	TCIRG1	0.963	string	2
TNFAIP1	FAF1	0.995	string	2
TNFAIP1	UBXN7	0.995	string	2
TNFAIP1	UBXN1	0.995	string	2
TNFAIP1	CUL3	0.993	string	2
APOC3	APOC1	0.999	string	2
APOC3	APOB	0.999	string	2
APOC3	APOA2	0.999	string	2
KCTD10	CUL3	0.996	string	2
KCTD10	UBXN1	0.995	string	2
KCTD10	UBXN7	0.995	string	2
KCTD10	FAF1	0.994	string	2
APOB	APOA2	0.999	string	2
APOB	MTTP	0.999	string	2
APOB	LPA	0.999	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
INO80B	INO80C	0.997	string	2
APOA1	APOA2	0.999	string	2
APOA1	APOB	0.999	string	2
APOA1	APOC3	0.999	string	2
APOA1	SCARB1	0.999	string	2
ADGRE5	LPAR1	0.973	string	2
ACTR5	RUVBL1	0.999	string	2
ACTR5	INO80C	0.999	string	2
ACTR5	NFRKB	0.999	string	2
ACTR5	INO80	0.999	string	2
C3	CFP	0.999	string	2
C3	CR1	0.999	string	2
C3	CD46	0.999	string	2
C3	CFI	0.999	string	2
C3	CFHR1	0.999	string	2
RALY	HNRNPC	0.953	string	2
RALY	EIF2S2	0.936	string	2
CIAO3	CIAO1	0.998	string	2
CIAO3	MMS19	0.998	string	2
CIAO3	CIAO2B	0.994	string	2
CIAO3	CIAO2A	0.991	string	2
CIAO3	NUBP1	0.959	string	2
EXOC4	EXOC2	0.999	string	2
EXOC4	EXOC7	0.999	string	2
EXOC4	EXOC6	0.999	string	2
EXOC4	EXOC1	0.999	string	2
EXOC4	EXOC3	0.999	string	2
TUBB2B	TUBA1B	0.998	string	2
TUBB2B	TUBA1A	0.997	string	2
TUBB2B	DYNC1H1	0.984	string	2
TUBB2B	KIF11	0.974	string	2
HLA-F	B2M	0.999	string	2
HLA-F	HLA-A	0.996	string	2
HLA-F	LILRB2	0.994	string	2
NDUFAF1	TMEM126B	0.999	string	2
NDUFAF1	NDUFS1	0.999	string	2
NDUFAF1	NDUFA13	0.999	string	2
NDUFAF1	NDUFA12	0.999	string	2
NDUFAF1	ACAD9	0.999	string	2
CYP2C9	CYP2C19	0.988	string	2
CYP2C9	VKORC1	0.98	string	2
CYP2C9	CYP3A4	0.98	string	2
CYP2C9	CYP4F2	0.974	string	2
CYP2C9	CYP3A7	0.971	string	2
CHRNA1	CHRND	0.959	string	2
CHRNA1	CHRNG	0.926	string	2
CHRNA1	CHRNB1	0.912	string	2
LRP6	WNT3A	0.999	string	2
LRP6	WNT1	0.999	string	2
LRP6	DKK1	0.999	string	2
LRP6	FZD4	0.999	string	2
LRP6	DKK4	0.999	string	2
MARS1	DARS1	0.999	string	2
MARS1	QARS1	0.999	string	2
MARS1	LARS1	0.999	string	2
MARS1	KARS1	0.999	string	2
MARS1	EEF1E1	0.999	string	2
TYROBP	SIRPB1	0.999	string	2
TYROBP	ZAP70	0.999	string	2
TYROBP	TREM2	0.999	string	2
TYROBP	KLRD1	0.999	string	2
CUL3	KLHL20	0.999	string	2
CUL3	RBX1	0.999	string	2
CUL3	KLHL13	0.999	string	2
CUL3	KEAP1	0.999	string	2
CUL3	SPOPL	0.999	string	2
CSTA	CTSB	0.998	string	2
CSTA	CTSL	0.992	string	2
CSTA	CTSV	0.96	string	2
