level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	1432	13	3.983261260409535e-12	4.955177007949462e-09	3	0.008
level0	White matter microstructure (radial diusivities)	344506	250	1432	12	9.781448015933992e-10	1.216812133182189e-06	16	0.034
level0	White matter microstructure (axial diusivities)	344506	160	1432	12	5.569461665397323e-12	6.928410311754269e-09	6	0.014
level0	Hemoglobin concentration	344506	1081	1432	22	2.2051989871175213e-09	2.743267539974197e-06	19	0.04
level0	White matter microstructure (fractional anisotropy)	344506	240	1432	10	9.108008806119697e-08	0.0001133036295481	28	0.058
level0	Alzheimer's disease (late onset)	344506	123	1432	6	1.4336342921887836e-05	0.0178344105948284	3	0.008
level0	Neuroticism	344506	1057	1432	23	2.7017388011397285e-10	3.360963068617822e-07	13	0.028
level0	Parkinson's disease	344506	374	1432	24	6.275730347732864e-21	7.807008552579682e-18	15	0.032
level0	Systemic lupus erythematosus	344506	863	1432	15	5.078065202287542e-06	0.0063171131116457	14	0.03
level0	Lymphoma	344506	9	1432	3	5.908760507466573e-06	0.0073504980712884	2	0.006
level0	Cortical surface area (global PC1)	344506	15	1432	4	3.912431412368593e-07	0.0004867064676986	2	0.006
level0	Immunoglobulin A vasculitis	344506	60	1432	21	5.832326862665958e-35	7.255414617156454e-32	6	0.014
level0	HLA DR on plasmacytoid Dendritic Cell	344506	8	1432	3	3.951453995950071e-06	0.0049156087709618	2	0.006
level0	HLA DR on Dendritic Cell	344506	5	1432	3	7.122393838284598e-07	0.0008860257934826	2	0.006
level0	IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L	344506	2	1432	2	1.726594416644391e-05	0.0214788345430562	0	0.002
level0	aseg global volume SupraTentorialNotVent	344506	2	1432	2	1.726594416644391e-05	0.0214788345430562	0	0.002
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	1432	49	9.796916305775043e-61	1.2187363884384156e-57	11	0.024
level0	Family history of Alzheimer's disease	344506	87	1432	12	3.386592043378188e-15	4.212920501962465e-12	2	0.006
level0	Experiencing mood swings	344506	69	1432	5	1.1107183594258464e-05	0.0138173363912575	3	0.008
level0	Feeling hurt	344506	46	1432	5	1.466280877954509e-06	0.0018240534121754	3	0.008
level0	Irritable mood	344506	67	1432	5	9.610618729350205e-06	0.0119556096993116	3	0.008
level0	Feeling guilty	344506	29	1432	4	6.499033453730092e-06	0.0080847976164402	3	0.008
level0	Alzheimer's disease	344506	342	1432	29	1.9669905854878043e-28	2.4469362883468287e-25	3	0.008
level0	Waist-to-hip ratio adjusted for BMI	344506	3741	1432	39	3.231564287982598e-07	0.000402006597425	30	0.062
level0	A body shape index	344506	1514	1432	23	1.899572185615305e-07	0.0002363067798905	24	0.05
level0	Waist-hip index	344506	2526	1432	36	4.1919374301775944e-10	5.214770163140928e-07	25	0.052
level0	Major depressive disorder or stress-related disorder	344506	242	1432	14	3.3186381624846707e-12	4.12838587413093e-09	6	0.014
level0	Alpha-L-iduronidase levels (IDUA.3169.70.2)	344506	7	1432	3	2.4773594724942943e-06	0.0030818351837829	3	0.008
level0	Non-lobar intracerebral hemorrhage (MTAG)	344506	42	1432	8	9.102835558611606e-12	1.1323927434912838e-08	11	0.024
level0	Depressed affect	344506	157	1432	11	8.868883693649109e-11	1.1032891314899493e-07	3	0.008
level0	Worry	344506	147	1432	9	1.488598200595847e-08	1.851816161541234e-05	3	0.008
