level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	3460	30	5.848735232218157e-26	1.3346813799921836e-22	18	0.038
level0	White matter microstructure (radial diusivities)	344506	250	3460	23	2.254113424758992e-15	5.143886835300019e-12	27	0.056
level0	White matter microstructure (axial diusivities)	344506	160	3460	20	3.907972296677349e-16	8.917992781017712e-13	16	0.034
level0	Hemoglobin concentration	344506	1081	3460	40	5.139439972440716e-12	1.1728202017109714e-08	34	0.07
level0	White matter microstructure (fractional anisotropy)	344506	240	3460	18	7.145461382363205e-11	1.6305942874552833e-07	36	0.074
level0	Alzheimer's disease (late onset)	344506	123	3460	16	1.7852679895506461e-13	4.0739815521545735e-10	2	0.006
level0	Neuroticism	344506	1057	3460	42	1.551646876646855e-13	3.5408581725081225e-10	44	0.09
level0	Chronic hepatitis B infection	344506	19	3460	5	1.053683585484159e-06	0.0024045059420748	19	0.04
level0	Alzheimer's disease	344506	342	3460	54	1.8053736312743112e-46	4.1198626265679775e-43	9	0.02
level0	Parkinson's disease	344506	374	3460	39	5.0921351881796765e-27	1.1620252499426022e-23	26	0.054
level0	Sarcoidosis	344506	146	3460	14	3.629178366901354e-10	8.28178503326889e-07	18	0.038
level0	Systemic lupus erythematosus	344506	863	3460	35	8.910849367271008e-12	2.0334558256112443e-08	36	0.074
level0	Nephropathy	344506	6	3460	3	1.979052743582796e-05	0.0451619836085594	4	0.01
level0	IgA nephropathy	344506	159	3460	16	9.819891524339791e-12	2.240899245854341e-08	14	0.03
level0	Chronic hepatitis C infection	344506	14	3460	4	9.381316079581747e-06	0.0214081632936055	15	0.032
level0	Oligoclonal band status in multiple sclerosis	344506	4	3460	3	4.018316726958752e-06	0.0091697987709198	8	0.018
level0	Immunoglobulin G index levels in multiple sclerosis	344506	4	3460	3	4.018316726958752e-06	0.0091697987709198	9	0.02
level0	Hepatitis C induced liver cirrhosis	344506	5	3460	3	9.970224638923714e-06	0.0227520526260239	6	0.014
level0	Nodular sclerosis Hodgkin lymphoma	344506	14	3460	5	1.891669271754663e-07	0.0004316789278144	15	0.032
level0	Lymphoma	344506	9	3460	6	8.364637906914632e-11	1.908810370357919e-07	16	0.034
level0	Multiple sclerosis (OCB status)	344506	10	3460	6	2.073198042415829e-10	4.731037932792922e-07	14	0.03
level0	Hepatitis C (spontaneous viral clearance)	344506	18	3460	5	7.829212125882367e-07	0.0017866262071263	8	0.018
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	3460	8	1.387427137631427e-05	0.0316610872807491	1	0.004
level0	Cortical surface area (global PC1)	344506	15	3460	5	2.8138406852289264e-07	0.0006421184443692	7	0.016
level0	Waist-to-hip ratio adjusted for BMI	344506	3741	3460	94	3.237898420570212e-15	7.388884195741222e-12	105	0.212
level0	ACPA-positive rheumatoid arthritis (smoking interaction)	344506	15	3460	12	4.573622042206083e-22	1.043700550031428e-18	14	0.03
