level	trait	total_gwas_snps	trait_snps	eqtls_in_catalog	trait_eqtls	pval	adj_pval	sim_count	sim_pval
level0	White matter microstructure (mean diusivities)	344506	198	2883	28	1.37012102952914e-25	2.9306888821628307e-22	25	0.052
level0	White matter microstructure (radial diusivities)	344506	250	2883	21	6.711545665247921e-15	1.43559961779653e-11	27	0.056
level0	White matter microstructure (axial diusivities)	344506	160	2883	20	1.2592222169815933e-17	2.693476322123628e-14	13	0.028
level0	Hemoglobin concentration	344506	1081	2883	37	1.67959550063969e-12	3.592654775868296e-09	35	0.072
level0	White matter microstructure (fractional anisotropy)	344506	240	2883	20	3.3976810602158826e-14	7.267639787801773e-11	28	0.058
level0	Alzheimer's disease (late onset)	344506	123	2883	12	7.053642568209164e-10	1.50877414533994e-06	0	0.002
level0	Neuroticism	344506	1057	2883	41	1.832698379653115e-15	3.920141834078013e-12	33	0.068
level0	Parkinson's disease	344506	374	2883	36	1.7110860873104896e-26	3.660013140757137e-23	22	0.046
level0	Sarcoidosis	344506	146	2883	14	3.4529628613735646e-11	7.385887560478055e-08	9	0.02
level0	Chronic hepatitis B infection	344506	19	2883	5	4.313486540156415e-07	0.0009226547709394	18	0.038
level0	Systemic lupus erythematosus	344506	863	2883	33	1.4085423963387968e-12	3.012872185768686e-09	16	0.034
level0	Nephropathy	344506	6	2883	3	1.1490371138638656e-05	0.024577903865548	0	0.002
level0	IgA nephropathy	344506	159	2883	15	8.780792924529542e-12	1.878211606556869e-08	7	0.016
level0	Chronic hepatitis C infection	344506	14	2883	4	4.581766020418693e-06	0.0098003975176755	10	0.022
level0	Oligoclonal band status in multiple sclerosis	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	7	0.016
level0	Immunoglobulin G index levels in multiple sclerosis	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	6	0.014
level0	Hepatitis C induced liver cirrhosis	344506	5	2883	3	5.7814040590370906e-06	0.0123664232822803	7	0.016
level0	Alzheimer's disease	344506	342	2883	43	2.9690189991192328e-36	6.350731639116039e-33	4	0.01
level0	Nodular sclerosis Hodgkin lymphoma	344506	14	2883	5	7.689963302408304e-08	0.0001644883150385	10	0.022
level0	Lymphoma	344506	9	2883	6	2.8090910867384452e-11	6.008645834533535e-08	8	0.018
level0	Multiple sclerosis (OCB status)	344506	10	2883	6	6.972479921977034e-11	1.4914134553108876e-07	11	0.024
level0	Hepatitis C (spontaneous viral clearance)	344506	18	2883	5	3.200582396624607e-07	0.000684604574638	5	0.012
level0	Parkinson's disease or first degree relation to individual with Parkinson's disease	344506	107	2883	8	3.7282094357230512e-06	0.0079746399830116	2	0.006
level0	Cortical surface area (global PC1)	344506	15	2883	4	6.206208990508177e-06	0.0132750810306969	7	0.016
level0	White matter hyperintensities	344506	36	2883	6	5.367757470433453e-07	0.0011481633229257	8	0.018
level0	ACPA-positive rheumatoid arthritis (smoking interaction)	344506	15	2883	14	1.19167351692391e-28	2.548989652700244e-25	13	0.028
level0	Waist-to-hip ratio adjusted for BMI	344506	3741	2883	74	3.525512505257572e-11	7.541071248745945e-08	67	0.136
level0	Epstein Barr virus nuclear antigen 1 IgG levels	344506	6	2883	5	2.4370357974726543e-10	5.212819570794007e-07	6	0.014
level0	Immunoglobulin A vasculitis	344506	60	2883	51	1.0036264635135218e-96	2.146757005455424e-93	21	0.044
level0	Alzheimer's disease or family history of Alzheimer's disease	344506	309	2883	43	3.624710701436179e-38	7.753256190371988e-35	13	0.028
level0	Family history of Alzheimer's disease	344506	87	2883	14	2.4516003679547632e-14	5.2439731870552376e-11	0	0.002
level0	Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	344506	5	2883	4	2.4308127606750346e-08	5.199508495083899e-05	1	0.004
level0	Feeling miserable	344506	64	2883	6	1.6919404275672758e-05	0.036190605745664	7	0.016
level0	Experiencing mood swings	344506	69	2883	8	1.266414331430098e-07	0.0002708860254928	10	0.022
level0	Irritable mood	344506	67	2883	7	1.6008732829116017e-06	0.0034242679521479	16	0.034
level0	Response to hepatitis B vaccine	344506	21	2883	6	1.6649700582433656e-08	3.561370954582559e-05	17	0.036
level0	Feeling guilty	344506	29	2883	6	1.376309838808899e-07	0.0002943926745212	16	0.034
level0	Childhood steroid-sensitive nephrotic syndrome	344506	29	2883	6	1.376309838808899e-07	0.0002943926745212	9	0.02
level0	A body shape index	344506	1514	2883	45	9.02598558505018e-13	1.930658316642233e-09	63	0.128
level0	Waist-hip index	344506	2526	2883	63	7.782731309056428e-14	1.6647262270071695e-10	58	0.118
level0	Major depressive disorder or stress-related disorder	344506	242	2883	24	1.7882546511019802e-18	3.825076698707136e-15	17	0.036
level0	Alpha-L-iduronidase levels (IDUA.3169.70.2)	344506	7	2883	4	1.6789024249286437e-07	0.0003591172286922	3	0.008
level0	Non-lobar intracerebral hemorrhage (MTAG)	344506	42	2883	9	6.915018397415388e-11	1.4791224352071516e-07	5	0.012
level0	Depressed affect	344506	157	2883	16	5.420903468573566e-13	1.1595312519278859e-09	12	0.026
level0	Worry	344506	147	2883	12	5.466384922951201e-09	1.1692597350192618e-05	20	0.042
level0	Hay fever and/or eczema	344506	154	2883	9	7.0958034781973045e-06	0.015177923639864	3	0.008
level0	General factor of neuroticism	344506	308	2883	20	3.5001425804179453e-12	7.486804979513986e-09	26	0.054
level0	Anti-anoctamin 2 antibody levels	344506	10	2883	4	9.872944275123868e-07	0.0021118227804489	5	0.012
level0	Extraintestinal manifestations in inflammatory bowel disease (primary sclerosing cholangitis)	344506	10	2883	4	9.872944275123868e-07	0.0021118227804489	9	0.02
level0	Mitogen-activated protein kinase 3 levels	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	12	0.026
level0	Tyrosine-protein phosphatase non-receptor type substrate 1 levels	344506	30	2883	7	4.9089660895353086e-09	1.0500278465516025e-05	1	0.004
level0	Alpha-L-iduronidase levels	344506	60	2883	7	7.48124075118316e-07	0.001600237396678	2	0.006
level0	Complement C4 levels (C4A.C4B.4481.34.2)	344506	27	2883	5	2.8325102863513868e-06	0.0060587395025056	4	0.01
level0	Succinylcarnitine levels	344506	18	2883	5	3.200582396624607e-07	0.000684604574638	13	0.028
level0	Triacylglycerol (50:2) [NL-18:2] levels	344506	7	2883	3	1.9982231809480244e-05	0.0427419938404782	9	0.02
level0	Rheumatoid arthritis or irritable bowel disease	344506	86	2883	9	5.1258902054350535e-08	0.0001096427914942	17	0.036
level0	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	344506	477	2883	16	4.032428058546783e-06	0.0086253636172315	1	0.004
level0	COVID-19 hospitalization or systemic lupus erythematosus (MTAG)	344506	17	2883	4	1.067733838726987e-05	0.0228388268103702	1	0.004
level0	BMI at 1.5 -2.5 years old interval	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	4	0.01
level0	Posterolateral temporal area (unadjusted for global measures)	344506	33	2883	5	7.987043335136254e-06	0.0170842856938564	7	0.016
level0	Dorsomedial frontal area (unadjusted for global measures)	344506	54	2883	6	6.258884545710051e-06	0.0133877540432738	7	0.016
level0	Inferior parietal area (unadjusted for global measures)	344506	45	2883	8	3.900349566914771e-09	8.342847723630697e-06	6	0.014
level0	Parsopercularis area (unadjusted for global measures)	344506	46	2883	6	2.403290236966497e-06	0.0051406378168713	6	0.014
level0	Occipital area (unadjusted for global measures)	344506	45	2883	8	3.900349566914771e-09	8.342847723630697e-06	7	0.016
level0	Anteromedial temporal area (unadjusted for global measures)	344506	29	2883	6	1.376309838808899e-07	0.0002943926745212	6	0.014
level0	Dorsolateral prefrontal area (unadjusted for global measures)	344506	48	2883	6	3.1039217065906714e-06	0.0066392885303974	8	0.018
level0	COVID-19 severity	344506	47	2883	6	2.735390112931119e-06	0.0058509994515596	10	0.022
level0	Superior temporal area (unadjusted for global measures)	344506	39	2883	5	1.858532070429621e-05	0.0397540009864895	7	0.016
level0	Superior parietal area (unadjusted for global measures)	344506	30	2883	7	4.9089660895353086e-09	1.0500278465516025e-05	7	0.016
level0	Allergen component sensitization (Hevea brasiliensis 8)	344506	77	2883	21	5.653243363630744e-26	1.2092287554806161e-22	11	0.024
level0	Major depressive disorder or hospitalized COVID-19 (pleiotropy)	344506	6	2883	3	1.1490371138638656e-05	0.024577903865548	1	0.004
level0	Hypothyroidism or rheumatoid arthritis (pleiotropy)	344506	1035	2883	382	0.0	0.0	82	0.166
level0	SIRPA protein levels	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	1	0.004
level0	Hepatitis B virus antibody levels	344506	5	2883	3	5.7814040590370906e-06	0.0123664232822803	9	0.02
level0	Seropositivity for aix galericulata (mandarin duck) peptide (twist_23200)	344506	11	2883	4	1.541107589256779e-06	0.0032964291334202	14	0.03
level0	Seropositivity for human adenovirus 12 peptide (twist_43231)	344506	5	2883	4	2.4308127606750346e-08	5.199508495083899e-05	5	0.012
level0	Seropositivity for human adenovirus 12 peptide (twist_55551)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	6	0.014
level0	Seropositivity for gallus gallus ovomucoid precursor gallus peptide (twist_30726)	344506	11	2883	4	1.541107589256779e-06	0.0032964291334202	9	0.02
level0	Seropositivity for staphylococcus aureus subsp. aureus MRSA252 peptide (agilent_84757)	344506	21	2883	6	1.6649700582433656e-08	3.561370954582559e-05	15	0.032
level0	Seropositivity for root peptide (agilent_184788)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	6	0.014
level0	Seropositivity for struthio camelus (ostrich) peptide (twist_5109)	344506	8	2883	4	3.335374683627981e-07	0.000713436644828	8	0.018
level0	Seropositivity for streptococcus pneumoniae peptide (twist_54623)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	5	0.012
level0	Seropositivity for staphylococcus aureus subsp. aureus MRSA252 peptide (agilent_80555)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	5	0.012
level0	Seropositivity for bacteroides peptide (agilent_153971)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	7	0.016
level0	Seropositivity for bacilli peptide (agilent_5601)	344506	5	2883	3	5.7814040590370906e-06	0.0123664232822803	4	0.01
level0	Seropositivity for streptococcus phage peptide (twist_76831)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	8	0.018
level0	Seropositivity for faecalibacterium prausnitzii a2-165 peptide (agilent_194982)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	5	0.012
level0	Seropositivity for clostridiales peptide (agilent_68956)	344506	17	2883	5	2.327697832618835e-07	0.0004978945663971	13	0.028
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_318)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	3	0.008
level0	Seropositivity for gallus peptide (twist_24274)	344506	7	2883	3	1.9982231809480244e-05	0.0427419938404782	10	0.022
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (twist_46937)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	9	0.02
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (twist_27540)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	3	0.008
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_321)	344506	3	2883	3	5.854573851400624e-07	0.0012522933468145	1	0.004
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (twist_34377)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	6	0.014
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (agilent_6936)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	6	0.014
level0	Seropositivity for meleagris gallopavo (turkey) peptide (twist_3824)	344506	12	2883	4	2.2962367704783567e-06	0.0049116504520532	7	0.016
level0	Seropositivity for lactobacillus phage LFEINF peptide (twist_64023)	344506	18	2883	5	3.200582396624607e-07	0.000684604574638	18	0.038
level0	Seropositivity for lactobacillus phage LFEINF peptide (twist_88894)	344506	18	2883	5	3.200582396624607e-07	0.000684604574638	19	0.04
level0	Seropositivity for human gammaherpesvirus 4 (Epstein-Barr virus) peptide (twist_26954)	344506	12	2883	4	2.2962367704783567e-06	0.0049116504520532	14	0.03
level0	Seropositivity for haemophilus parainfluenzae T3T1 peptide (agilent_88528)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	5	0.012
level0	Seropositivity for human huntingtin peptide (twist_34234)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	5	0.012
level0	Seropositivity (peptide co-occurrence module 21: plant thionins)	344506	8	2883	4	3.335374683627981e-07	0.000713436644828	9	0.02
level0	Seropositivity for triticum aestivum (common wheat) peptide (twist_14325)	344506	10	2883	4	9.872944275123868e-07	0.0021118227804489	11	0.024
level0	Seropositivity for triticum urartu (wild einkorn wheat) peptide (twist_12614)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	6	0.014
level0	Seropositivity (peptide co-occurrence module 13: ABC transporters , ATP-binding proteins)	344506	4	2883	4	4.894347130607672e-09	1.0469008512369807e-05	6	0.014
level0	Seropositivity for staphylococcus aureus peptide (twist_34337)	344506	9	2883	4	5.963581047466019e-07	0.0012756099860529	6	0.014
level0	Seropositivity for staphylococcus aureus peptide (twist_39975)	344506	9	2883	4	5.963581047466019e-07	0.0012756099860529	12	0.026
level0	Seropositivity for staphylococcus aureus subsp. aureus MW2 peptide (agilent_237201)	344506	6	2883	5	2.4370357974726543e-10	5.212819570794007e-07	5	0.012
level0	Seropositivity for staphylococcus aureus peptide (agilent_241121)	344506	4	2883	3	2.327146499375669e-06	0.0049777663621645	8	0.018
level0	Seropositivity for staphylococcus aureus peptide (agilent_240086)	344506	5	2883	3	5.7814040590370906e-06	0.0123664232822803	2	0.006
level0	Seropositivity for staphylococcus aureus peptide (agilent_222322)	344506	7	2883	5	8.47025583835452e-10	1.811787723824032e-06	14	0.03
level1	White matter microstructure (mean diusivities)	344506	198	2451	12	2.6203934996869343e-08	7.37640770161872e-05	18	0.038
level1	White matter microstructure (radial diusivities)	344506	250	2451	10	1.5307276967852486e-05	0.0430899846645047	26	0.054
level1	White matter microstructure (axial diusivities)	344506	160	2451	10	2.825181813853171e-07	0.0007952886805996	12	0.026
level1	Neuroticism	344506	1057	2451	30	3.719216060560289e-10	1.0469593210477212e-06	31	0.064
level1	Chronic hepatitis B infection	344506	19	2451	7	4.277800568785654e-11	1.2042008601131616e-07	25	0.052
level1	Parkinson's disease	344506	374	2451	23	9.706152821938044e-15	2.7322820193755596e-11	35	0.072
level1	Sarcoidosis	344506	146	2451	14	4.130848887053757e-12	1.1628339617056326e-08	39	0.08
level1	Systemic lupus erythematosus	344506	863	2451	37	1.2931982825077993e-17	3.640353165259455e-14	66	0.134
level1	Ulcerative colitis	344506	307	2451	13	4.499535674969811e-07	0.001266619292504	52	0.106
level1	IgA nephropathy	344506	159	2451	9	2.516301302432925e-06	0.0070833881663486	27	0.056
level1	Chronic hepatitis C infection	344506	14	2451	4	2.4168056762000465e-06	0.0068033079785031	25	0.052
level1	Oligoclonal band status in multiple sclerosis	344506	4	2451	3	1.4310369834501522e-06	0.0040283691084121	20	0.042
level1	Immunoglobulin G index levels in multiple sclerosis	344506	4	2451	3	1.4310369834501522e-06	0.0040283691084121	19	0.04
level1	Adult onset asthma or type 2 diabetes	344506	6	2451	3	7.079162620757094e-06	0.0199278427774312	0	0.002
level1	Idiopathic membranous nephropathy	344506	21	2451	5	3.359939998789509e-07	0.0009458231096592	56	0.114
level1	Alzheimer's disease	344506	342	2451	18	9.507900736599535e-11	2.6764740573527696e-07	50	0.102
level1	Metabolic syndrome	344506	182	2451	14	8.122512825397352e-11	2.286487360349355e-07	32	0.066
level1	Nodular sclerosis Hodgkin lymphoma	344506	14	2451	5	3.4455349184725976e-08	9.699180795500362e-05	39	0.08
level1	Lymphoma	344506	9	2451	6	1.0630859181710104e-11	2.9925868596513944e-08	20	0.042
level1	Multiple sclerosis (OCB status)	344506	10	2451	6	2.641553051086709e-11	7.435971838809086e-08	38	0.078
level1	Hypertriglyceridemia	344506	43	2451	7	2.356788763133872e-08	6.634360368221848e-05	31	0.064
level1	Low HDL-cholesterol levels	344506	24	2451	7	2.848373497882989e-10	8.018171396540614e-07	29	0.06
level1	Hepatitis C (spontaneous viral clearance)	344506	18	2451	4	7.221986413218059e-06	0.0203298917532088	10	0.022
level1	Adult asthma	344506	45	2451	6	8.28001027774925e-07	0.0023308228931864	8	0.018
level1	Serum metabolite levels (CMS)	344506	132	2451	9	5.330641058850591e-07	0.0015005754580664	44	0.09
level1	Cortical surface area (global PC1)	344506	15	2451	6	6.10666294454186e-10	1.7190256188885337e-06	11	0.024
level1	Itch intensity from mosquito bite adjusted by bite size	344506	262	2451	11	3.679247881862052e-06	0.0103570827874416	4	0.01
level1	Cerebral amyloid deposition (PET imaging)	344506	51	2451	14	8.300729403353561e-19	2.3366553270440278e-15	49	0.1
level1	ACPA-positive rheumatoid arthritis (smoking interaction)	344506	15	2451	11	3.074251891276647e-21	8.654019073943763e-18	20	0.042
level1	High density lipoprotein cholesterol levels	344506	2142	2451	40	7.433800480270434e-08	0.0002092614835196	79	0.16
level1	Waist-to-hip ratio adjusted for BMI	344506	3741	2451	80	2.221945796626738e-17	6.254777417504267e-14	77	0.156
level1	Epstein Barr virus nuclear antigen 1 IgG levels	344506	6	2451	4	3.7902869545706495e-08	0.0001066965777711	19	0.04
level1	Primary central nervous system lymphoma	344506	7	2451	3	1.2322581296138694e-05	0.0346880663486304	18	0.038
level1	Immunoglobulin A vasculitis	344506	60	2451	46	1.633102038905614e-86	4.597182239519303e-83	26	0.054
level1	HLA DR on Dendritic Cell	344506	5	2451	3	3.558532747550695e-06	0.0100172696843552	5	0.012
level1	Type 1 diabetes (age at diagnosis)	344506	40	2451	6	4.022292891315109e-07	0.0011322754489052	20	0.042
level1	Complement C4 levels	344506	43	2451	9	2.088287040447656e-11	5.8785280188601524e-08	32	0.066
