geneA	geneB	score	db	level
CPSF3	CPSF2	0.999	string	1
CPSF3	WDR33	0.999	string	1
CPSF3	CPSF4	0.999	string	1
CPSF3	CPSF1	0.999	string	1
CPSF3	CSTF2	0.999	string	1
APH1B	NCSTN	0.999	string	1
APH1B	PSENEN	0.999	string	1
APH1B	PSEN2	0.999	string	1
APH1B	PSEN1	0.999	string	1
APH1B	APH1A	0.975	string	1
FCER1G	FCGR3B	0.999	string	1
FCER1G	TYROBP	0.999	string	1
FCER1G	NCR1	0.999	string	1
FCER1G	FCGR3A	0.999	string	1
FCER1G	CLEC6A	0.999	string	1
ACE	AGT	0.999	string	1
ACE	KNG1	0.995	string	1
ACE	REN	0.987	string	1
ACE	AGTR1	0.974	string	1
ACE	ACE2	0.956	string	1
TRIM72	CAV3	0.994	string	1
TRIM72	DYSF	0.989	string	1
TRIM72	ANXA1	0.938	string	1
MAP11	TRAPPC5	0.936	string	1
MAP11	TRAPPC1	0.918	string	1
MAP11	TRAPPC2	0.917	string	1
MAP11	TRAPPC2L	0.905	string	1
TP53INP1	HIPK2	0.941	string	1
TP53INP1	TP53	0.935	string	1
CD2AP	NPHS1	0.999	string	1
CD2AP	NPHS2	0.999	string	1
CD2AP	KIRREL1	0.995	string	1
CD2AP	CD2	0.991	string	1
CD2AP	CBL	0.988	string	1
MAT1A	MAT2B	0.995	string	1
MAT1A	MAT2A	0.991	string	1
MAT1A	BHMT	0.988	string	1
MAT1A	MTR	0.985	string	1
MAT1A	BHMT2	0.981	string	1
HLA-DQA2	CD74	0.992	string	1
HLA-DQA2	HLA-DQB1	0.985	string	1
HLA-DQA2	CD4	0.961	string	1
HLA-DQA2	HLA-DRB1	0.955	string	1
HLA-DQA2	HLA-DQB2	0.942	string	1
NUP160	AHCTF1	0.999	string	1
NUP160	NUP133	0.999	string	1
NUP160	NUP43	0.999	string	1
NUP160	NUP98	0.999	string	1
NUP160	NUP85	0.999	string	1
SIRPB1	TYROBP	0.999	string	1
SIRPB1	CD47	0.993	string	1
SIRPB1	SIRPA	0.918	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EARS2	FAU	0.99	string	1
EARS2	MARS1	0.983	string	1
EARS2	MARS2	0.977	string	1
EARS2	EPRS1	0.968	string	1
EARS2	LARS2	0.964	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
APOC2	APOC3	0.999	string	1
APOC2	APOE	0.999	string	1
APOC2	APOC1	0.999	string	1
APOC2	LPL	0.998	string	1
APOC2	APOA1	0.997	string	1
STAG3	SMC3	0.999	string	1
STAG3	RAD21	0.999	string	1
STAG3	REC8	0.999	string	1
STAG3	RAD21L1	0.999	string	1
STAG3	SMC1B	0.999	string	1
B4GALT3	FUT8	0.946	string	1
B4GALT3	ST6GAL1	0.945	string	1
B4GALT3	B3GNT2	0.944	string	1
B4GALT3	MGAT5B	0.941	string	1
B4GALT3	ST3GAL6	0.94	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
HLA-DOB	HLA-DMB	0.998	string	1
HLA-DOB	HLA-DMA	0.996	string	1
HLA-DOB	F6UB75_HUMAN	0.985	string	1
HLA-DOB	HLA-DRA	0.98	string	1
HLA-DOB	HLA-DOA	0.98	string	1
CHRNE	CHRNA1	0.941	string	1
CHRNE	RAPSN	0.915	string	1
CD74	CD44	0.999	string	2
CD74	MIF	0.999	string	2
CD74	HLA-DRA	0.999	string	2
CD74	HLA-DQB1	0.997	string	2
CD74	FAU	0.997	string	2
CD4	LCK	0.999	string	2
CD4	CCR5	0.999	string	2
CD4	CD8A	0.999	string	2
CD4	ITIH4	0.999	string	2
CD4	CXCR4	0.999	string	2
ST6GAL1	B4GALT1	0.99	string	2
ST6GAL1	B4GALT2	0.952	string	2
ST6GAL1	ST6GAL2	0.913	string	2
APOC3	APOC1	0.999	string	2
APOC3	APOE	0.999	string	2
APOC3	APOB	0.999	string	2
APOC3	APOA2	0.999	string	2
HLA-DOA	HLA-DMA	0.989	string	2
HLA-DOA	HLA-DMB	0.987	string	2
HLA-DOA	HLA-B	0.977	string	2
HLA-DOA	HLA-DPB1	0.977	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
INO80B	INO80C	0.997	string	2
APOA1	APOA2	0.999	string	2
APOA1	APOE	0.999	string	2
APOA1	APOB	0.999	string	2
APOA1	APOC3	0.999	string	2
APOA1	SCARB1	0.999	string	2
ACTR5	RUVBL1	0.999	string	2
ACTR5	INO80C	0.999	string	2
ACTR5	NFRKB	0.999	string	2
ACTR5	INO80	0.999	string	2
NUP85	SEH1L	0.999	string	2
NUP85	NUP214	0.999	string	2
NUP85	NUP98	0.999	string	2
NUP85	NUP133	0.999	string	2
NUP85	NUP43	0.999	string	2
APOE	APOB	0.999	string	2
APOE	LRP2	0.999	string	2
APOE	APOA2	0.999	string	2
BHMT2	AHCY	0.979	string	2
BHMT2	CTH	0.979	string	2
BHMT2	AHCYL2	0.973	string	2
BHMT2	MAT2A	0.973	string	2
CHRNA1	CHRND	0.959	string	2
CHRNA1	CHRNG	0.926	string	2
CHRNA1	CHRNB1	0.912	string	2
NUP133	NUP37	0.999	string	2
NUP133	NUP107	0.999	string	2
NUP133	SEC13	0.999	string	2
MARS1	DARS1	0.999	string	2
MARS1	QARS1	0.999	string	2
MARS1	LARS1	0.999	string	2
MARS1	KARS1	0.999	string	2
MARS1	EEF1E1	0.999	string	2
TYROBP	ZAP70	0.999	string	2
TYROBP	TREM2	0.999	string	2
TYROBP	KLRD1	0.999	string	2
CBL	MET	0.999	string	2
CBL	GRB2	0.999	string	2
CBL	RAPGEF1	0.999	string	2
CBL	SRC	0.999	string	2
CBL	ZAP70	0.999	string	2
TP53	SFN	0.999	string	2
TP53	EP300	0.999	string	2
TP53	HIF1A	0.999	string	2
TP53	HDAC1	0.999	string	2
TP53	HSP90AA1	0.999	string	2
REN	AGT	0.999	string	2
REN	ATP6AP2	0.999	string	2
REN	AGTR1	0.969	string	2
REN	ACE2	0.96	string	2
BHMT	DMGDH	0.992	string	2
BHMT	CTH	0.99	string	2
BHMT	AHCY	0.988	string	2
BHMT	CBS	0.985	string	2
CRHBP	CRH	0.999	string	2
CRHBP	CRHR1	0.983	string	2
CRHBP	CRHR1-2	0.978	string	2
CRHBP	UCN	0.976	string	2
CRHBP	CRHR2	0.974	string	2
CRH	CRHR1	0.999	string	2
CRH	CRHR1-2	0.999	string	2
CRH	CRHR2	0.999	string	2
CRH	UCN	0.999	string	2
MARS2	IARS1	0.996	string	2
MARS2	LARS2	0.995	string	2
MARS2	IARS2	0.995	string	2
MARS2	EPRS1	0.993	string	2
MARS2	LARS1	0.993	string	2
NCR1	CD247	0.999	string	2
NCR1	NCR2	0.995	string	2
NCR1	NCR3	0.992	string	2
NCR1	KLRK1	0.986	string	2
CPSF4	FIP1L1	0.999	string	2
CPSF4	SYMPK	0.999	string	2
CPSF4	WDR33	0.999	string	2
CPSF4	CPSF1	0.999	string	2
NCSTN	APH1A	0.999	string	2
NCSTN	PSEN1	0.999	string	2
NCSTN	PSENEN	0.999	string	2
NCSTN	PSEN2	0.999	string	2
UCN	CRHR1-2	0.999	string	2
UCN	CRHR1	0.999	string	2
UCN	CRHR2	0.999	string	2
UCN	UCN2	0.996	string	2
RAD21	STAG1	0.999	string	2
RAD21	WAPL	0.999	string	2
RAD21	CTCF	0.999	string	2
RAD21	SMC1B	0.999	string	2
RAPSN	MUSK	0.991	string	2
RAPSN	AGRN	0.988	string	2
RAPSN	DOK7	0.983	string	2
RAPSN	CHRND	0.93	string	2
RAPSN	CHRNB1	0.929	string	2
CPSF2	CPSF1	0.999	string	2
CPSF2	CPSF4	0.999	string	2
CPSF2	WDR33	0.999	string	2
CPSF2	FIP1L1	0.999	string	2
TRAPPC1	TRAPPC6A	0.999	string	2
TRAPPC1	TRAPPC2L	0.999	string	2
