geneA	geneB	score	db	level
GRN	SORT1	0.968	string	1
GRN	TARDBP	0.958	string	1
GRN	SLPI	0.934	string	1
GRN	HSPG2	0.907	string	1
GRN	TMEM106B	0.906	string	1
APOE	APOC2	0.999	string	1
APOE	APOB	0.999	string	1
APOE	APOC3	0.999	string	1
APOE	LRP2	0.999	string	1
APOE	APOA2	0.999	string	1
ASXL3	BAP1	0.917	string	1
USP6NL	EPS8	0.952	string	1
USP6NL	RAB43	0.919	string	1
GGA2	GGA1	0.987	string	1
GGA2	GGA3	0.985	string	1
GGA2	IGF2R	0.985	string	1
GGA2	RABEP1	0.974	string	1
GGA2	SORL1	0.951	string	1
BIN1	RIN3	0.999	string	1
BIN1	MYC	0.999	string	1
BIN1	SYNJ1	0.994	string	1
BIN1	DNM2	0.992	string	1
BIN1	DNM1	0.99	string	1
DDX54	BOP1	0.966	string	1
DDX54	PES1	0.959	string	1
DDX54	FTSJ3	0.952	string	1
DDX54	NIFK	0.948	string	1
DDX54	DDX24	0.941	string	1
PVR	TIGIT	0.999	string	1
PVR	CD226	0.999	string	1
PVR	CD96	0.999	string	1
PVR	NECTIN3	0.99	string	1
PVR	CTLA4	0.95	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EPHX2	CYP2J2	0.981	string	1
EPHX2	CYP2C8	0.973	string	1
EPHX2	CYP2C9	0.967	string	1
EPHX2	CYP2B6	0.944	string	1
EPHX2	PNP	0.927	string	1
CELF1	HNRNPC	0.998	string	1
CELF1	RALY	0.995	string	1
CELF1	MBNL1	0.985	string	1
CELF1	CLCN1	0.931	string	1
CELF1	DMPK	0.925	string	1
STAG3	SMC3	0.999	string	1
STAG3	RAD21	0.999	string	1
STAG3	REC8	0.999	string	1
STAG3	RAD21L1	0.999	string	1
STAG3	SMC1B	0.999	string	1
B4GALT3	FUT8	0.946	string	1
B4GALT3	ST6GAL1	0.945	string	1
B4GALT3	B3GNT2	0.944	string	1
B4GALT3	MGAT5B	0.941	string	1
B4GALT3	ST3GAL6	0.94	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
ST6GAL1	B4GALT1	0.99	string	2
ST6GAL1	B4GALT2	0.952	string	2
ST6GAL1	ST6GAL2	0.913	string	2
RIN3	CD2AP	0.973	string	2
RIN3	RAB5B	0.929	string	2
RIN3	RAB5A	0.917	string	2
APOC3	APOC1	0.999	string	2
APOC3	APOC2	0.999	string	2
APOC3	APOB	0.999	string	2
APOC3	APOA2	0.999	string	2
APOB	APOA2	0.999	string	2
APOB	MTTP	0.999	string	2
APOB	LPA	0.999	string	2
TARDBP	FUS	0.999	string	2
TARDBP	HNRNPA2B1	0.998	string	2
TARDBP	HNRNPA1	0.997	string	2
TARDBP	MATR3-2	0.996	string	2
TARDBP	MATR3	0.995	string	2
RALY	HNRNPC	0.953	string	2
RALY	EIF2S2	0.936	string	2
SORT1	NTS	0.999	string	2
SORT1	NGFR	0.999	string	2
SORT1	BDNF	0.998	string	2
SORT1	NGF	0.997	string	2
SORT1	APOB	0.983	string	2
SORL1	APP	0.999	string	2
SORL1	GGA1	0.986	string	2
SORL1	VPS26A	0.946	string	2
CYP2C9	CYP2C19	0.988	string	2
CYP2C9	VKORC1	0.98	string	2
CYP2C9	CYP3A4	0.98	string	2
CYP2C9	CYP4F2	0.974	string	2
CYP2C9	CYP3A7	0.971	string	2
CRHBP	CRH	0.999	string	2
CRHBP	CRHR1	0.983	string	2
CRHBP	CRHR1-2	0.978	string	2
CRHBP	UCN	0.976	string	2
CRHBP	CRHR2	0.974	string	2
CRH	CRHR1	0.999	string	2
CRH	CRHR1-2	0.999	string	2
CRH	CRHR2	0.999	string	2
CRH	UCN	0.999	string	2
MBNL1	CNBP	0.96	string	2
MBNL1	DMPK	0.939	string	2
MBNL1	HNRNPH1	0.936	string	2
MBNL1	CLCN1	0.932	string	2
CD96	NECTIN2	0.999	string	2
CD96	NECTIN1	0.992	string	2
CD96	TIGIT	0.973	string	2
NIFK	RPF1	0.999	string	2
NIFK	RPF2	0.999	string	2
NIFK	BRIX1	0.999	string	2
NIFK	RSL1D1	0.999	string	2
NIFK	DDX18	0.999	string	2
UCN	CRHR1-2	0.999	string	2
UCN	CRHR1	0.999	string	2
UCN	CRHR2	0.999	string	2
UCN	UCN2	0.996	string	2
RAD21	STAG1	0.999	string	2
RAD21	WAPL	0.999	string	2
RAD21	CTCF	0.999	string	2
RAD21	SMC1B	0.999	string	2
B3GNT2	GCNT2	0.988	string	2
B3GNT2	B4GALT1	0.966	string	2
B3GNT2	B4GALT2	0.96	string	2
B3GNT2	B4GALT4	0.954	string	2
MSL2	MSL3	0.999	string	2
MSL2	MSL1	0.999	string	2
MSL2	KAT5	0.951	string	2
MSL2	MORF4L1	0.93	string	2
MSL3	MSL1	0.999	string	2
MSL3	H4C6	0.992	string	2
MSL3	KAT5	0.958	string	2
CYP2B6	CYP3A5	0.97	string	2
CYP2B6	CYP3A7	0.967	string	2
CYP2B6	CYP4A11	0.966	string	2
CYP2B6	PPIG	0.964	string	2
CYP2B6	CYP1A2	0.963	string	2
CLCN1	SCN4A	0.951	string	2
CLCN1	MBNL2	0.9	string	2
SLPI	ELANE	0.998	string	2
DMPK	CNBP	0.916	string	2
PES1	NOC2L	0.999	string	2
PES1	GTPBP4	0.999	string	2
PES1	WDR12	0.999	string	2
PES1	MRTO4	0.999	string	2
PES1	NSA2	0.999	string	2
IGF2R	IGF2	0.999	string	2
IGF2R	GGA3	0.996	string	2
IGF2R	IGF1	0.995	string	2
IGF2R	GGA1	0.994	string	2
IGF2R	M6PR	0.991	string	2
SMC1B	SMC3	0.999	string	2
SMC1B	REC8	0.999	string	2
SMC1B	RAD21L1	0.999	string	2
WDR5	H3C12	0.999	string	2
WDR5	H3C13	0.999	string	2
WDR5	DPY30	0.999	string	2
WDR5	KANSL1	0.999	string	2
WDR5	RBBP5	0.999	string	2
FUT8	MAN2A1	0.975	string	2
FUT8	MAN2A2	0.974	string	2
FUT8	MGAT3	0.97	string	2
FUT8	B4GALT1	0.968	string	2
FUT8	MGAT2	0.968	string	2
PNP	ADA	0.998	string	2
PNP	XDH	0.997	string	2
PNP	APRT	0.996	string	2
PNP	UPP2	0.996	string	2
PNP	UPP1	0.994	string	2
SMC3	STAG2	0.999	string	2
SMC3	NIPBL	0.999	string	2
SMC3	RAD21	0.999	string	2
SMC3	PDS5A	0.999	string	2
SMC3	REC8	0.999	string	2
APOA2	APOA1	0.999	string	2
APOA2	APOC2	0.995	string	2
GNAS	GNB1	0.999	string	2
GNAS	GNG2	0.997	string	2
GNAS	PTH1R	0.997	string	2
GNAS	CRHR1	0.997	string	2
GNAS	TSHR	0.997	string	2
CYP2J2	CYP4F3	0.97	string	2
CYP2J2	CYP4A11	0.954	string	2
CYP2J2	CYP4F2	0.951	string	2
CYP2J2	CYP3A4	0.951	string	2
CYP2C8	CYP3A4	0.973	string	2
CYP2C8	CYP3A7	0.969	string	2
CYP2C8	CYP4A11	0.966	string	2
CYP2C8	ENSP00000480571	0.961	string	2
DNM1	DNM3	0.999	string	2
DNM1	FIS1	0.997	string	2
DNM1	AMPH	0.996	string	2
DNM1	DNM2	0.983	string	2
HSPG2	NID2	0.999	string	2
HSPG2	DAG1	0.999	string	2
HSPG2	NID1	0.999	string	2
HSPG2	FGF2	0.998	string	2
HSPG2	BGN	0.997	string	2
UCN3	CRHR2	0.999	string	2
UCN3	CRHR1	0.998	string	2
UCN3	UCN2	0.998	string	2
UCN3	CRH	0.997	string	2
UCN3	UCN	0.995	string	2
GGA1	RABEP1	0.997	string	2
GGA1	ARF1	0.996	string	2
GGA1	CCDC91	0.989	string	2
DNM2	HCLS1	0.998	string	2
DNM2	CTTN	0.993	string	2
DNM2	AMPH	0.992	string	2
DNM2	DNM3	0.984	string	2
TMEM106B	TARDBP	0.935	string	2
RAD21L1	SMC3	0.998	string	2
RAD21L1	SMC1A	0.996	string	2
RAD21L1	STAG2	0.978	string	2
KANSL1	PHF20	0.999	string	2
