geneA	geneB	score	db	level
CSTF1	CSTF2	0.999	string	1
CSTF1	CSTF3	0.999	string	1
CSTF1	CPSF2	0.998	string	1
CSTF1	BARD1	0.997	string	1
CSTF1	CSTF2T	0.996	string	1
IDUA	IDS	0.981	string	1
IDUA	SGSH	0.974	string	1
IDUA	ARSB	0.973	string	1
IDUA	HYAL1	0.946	string	1
IDUA	SPAM1	0.941	string	1
ADAM10	TSPAN33	0.987	string	1
ADAM10	DLG1	0.982	string	1
ADAM10	TSPAN14	0.977	string	1
ADAM10	TSPAN5	0.973	string	1
ADAM10	ADAM17	0.958	string	1
APH1B	NCSTN	0.999	string	1
APH1B	PSENEN	0.999	string	1
APH1B	PSEN2	0.999	string	1
APH1B	PSEN1	0.999	string	1
APH1B	APH1A	0.975	string	1
LACTB	NSFL1C	0.994	string	1
LACTB	UBXN2A	0.994	string	1
RNF167	UBE2E1	0.943	string	1
MARK4	BLOC1S2	0.905	string	1
MARK4	BRCA1	0.903	string	1
MARK4	TUBGCP6	0.902	string	1
MARK4	MZT2B	0.9	string	1
MARK4	CENPJ	0.9	string	1
BCAM	LAMA5	0.946	string	1
MS4A2	FCER1A	0.996	string	1
MS4A2	LYN	0.958	string	1
MS4A2	SYK	0.957	string	1
MS4A2	CPA3	0.938	string	1
FCER1G	FCGR3B	0.999	string	1
FCER1G	TYROBP	0.999	string	1
FCER1G	NCR1	0.999	string	1
FCER1G	FCGR3A	0.999	string	1
FCER1G	CLEC6A	0.999	string	1
ACE	AGT	0.999	string	1
ACE	KNG1	0.995	string	1
ACE	REN	0.987	string	1
ACE	AGTR1	0.974	string	1
ACE	ACE2	0.956	string	1
GPC2	IGHV3-43D	0.9	string	1
MADD	RAB35	0.955	string	1
MADD	DENND1A	0.942	string	1
MADD	DMXL2	0.937	string	1
CLU	APOE	0.999	string	1
CLU	APOA1	0.998	string	1
CLU	APP	0.998	string	1
CLU	PON1	0.996	string	1
CLU	LRP2	0.994	string	1
MAPT	CDK5	0.999	string	1
MAPT	GSK3B	0.999	string	1
MAPT	TUBA1B	0.995	string	1
MAPT	APP	0.995	string	1
MAPT	TUBB2B	0.994	string	1
GALNT6	GCNT1	0.952	string	1
GALNT6	ST6GALNAC1	0.95	string	1
GALNT6	B3GNT6	0.94	string	1
GALNT6	C1GALT1	0.904	string	1
NDUFS2	MT-ND3	0.999	string	1
NDUFS2	MT-ND4	0.999	string	1
NDUFS2	NDUFC2	0.999	string	1
NDUFS2	NDUFA13	0.999	string	1
NDUFS2	NDUFB5	0.999	string	1
MAT1A	MAT2B	0.995	string	1
MAT1A	MAT2A	0.991	string	1
MAT1A	BHMT	0.988	string	1
MAT1A	MTR	0.985	string	1
MAT1A	BHMT2	0.981	string	1
HLA-DQA2	CD74	0.992	string	1
HLA-DQA2	HLA-DQB1	0.985	string	1
HLA-DQA2	CD4	0.961	string	1
HLA-DQA2	HLA-DRB1	0.955	string	1
HLA-DQA2	HLA-DQB2	0.942	string	1
SIRPB1	TYROBP	0.999	string	1
SIRPB1	CD47	0.993	string	1
SIRPB1	SIRPA	0.918	string	1
MIEF2	DNM1L	0.999	string	1
MIEF2	DENR	0.988	string	1
MIEF2	MFF	0.981	string	1
MIEF2	FIS1	0.924	string	1
NDUFAF6	NDUFAF5	0.988	string	1
NDUFAF6	NDUFAF1	0.958	string	1
NDUFAF6	NDUFAF4	0.926	string	1
NDUFAF6	NDUFAF2	0.913	string	1
NDUFAF6	NDUFAF3	0.905	string	1
WDR81	WDR91	0.972	string	1
PVR	TIGIT	0.999	string	1
PVR	CD226	0.999	string	1
PVR	CD96	0.999	string	1
PVR	NECTIN3	0.99	string	1
PVR	CTLA4	0.95	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EARS2	FAU	0.99	string	1
EARS2	MARS1	0.983	string	1
EARS2	MARS2	0.977	string	1
EARS2	EPRS1	0.968	string	1
EARS2	LARS2	0.964	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
B4GALT3	FUT8	0.946	string	1
B4GALT3	ST6GAL1	0.945	string	1
B4GALT3	B3GNT2	0.944	string	1
B4GALT3	MGAT5B	0.941	string	1
B4GALT3	ST3GAL6	0.94	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
HLA-DOB	HLA-DMB	0.998	string	1
HLA-DOB	HLA-DMA	0.996	string	1
HLA-DOB	F6UB75_HUMAN	0.985	string	1
HLA-DOB	HLA-DRA	0.98	string	1
HLA-DOB	HLA-DOA	0.98	string	1
CHRNE	CHRNA1	0.941	string	1
CHRNE	RAPSN	0.915	string	1
CD74	CD44	0.999	string	2
CD74	MIF	0.999	string	2
CD74	HLA-DRA	0.999	string	2
CD74	HLA-DQB1	0.997	string	2
CD74	FAU	0.997	string	2
CD4	LCK	0.999	string	2
CD4	CCR5	0.999	string	2
CD4	CD8A	0.999	string	2
CD4	ITIH4	0.999	string	2
CD4	CXCR4	0.999	string	2
ST6GALNAC1	C1GALT1	0.98	string	2
ST6GALNAC1	C1GALT1C1	0.973	string	2
ST6GALNAC1	GCNT1	0.965	string	2
ST6GALNAC1	B3GNT6	0.959	string	2
ST6GAL1	B4GALT1	0.99	string	2
ST6GAL1	B4GALT2	0.952	string	2
ST6GAL1	ST6GAL2	0.913	string	2
PON1	APOA1	0.998	string	2
PON1	APOE	0.977	string	2
PON1	CETP	0.968	string	2
PON1	APOA2	0.967	string	2
FIS1	DNM1L	0.999	string	2
FIS1	TBC1D15	0.999	string	2
FIS1	DNM1	0.997	string	2
FIS1	BCAP31	0.996	string	2
FIS1	TBC1D17	0.996	string	2
RAB35	DENND1B	0.999	string	2
RAB35	DENND1A	0.999	string	2
RAB35	ACAP2	0.995	string	2
RAB35	TBC1D10A	0.992	string	2
RAB35	DENND1C	0.978	string	2
HLA-DOA	HLA-DMA	0.989	string	2
HLA-DOA	HLA-DMB	0.987	string	2
