geneA	geneB	score	db	level
LACTB	NSFL1C	0.994	string	1
LACTB	UBXN2A	0.994	string	1
EGFR	PTPN11	0.999	string	1
EGFR	HBEGF	0.999	string	1
EGFR	NRG1	0.999	string	1
EGFR	TGFA	0.999	string	1
EGFR	ERBB2	0.999	string	1
ACE	AGT	0.999	string	1
ACE	KNG1	0.995	string	1
ACE	REN	0.987	string	1
ACE	AGTR1	0.974	string	1
ACE	ACE2	0.956	string	1
GALNT6	GCNT1	0.952	string	1
GALNT6	ST6GALNAC1	0.95	string	1
GALNT6	B3GNT6	0.94	string	1
GALNT6	C1GALT1	0.904	string	1
HLA-DRB1	HLA-DMA	0.999	string	1
HLA-DRB1	HLA-DRA	0.999	string	1
HLA-DRB1	HLA-DMB	0.997	string	1
HLA-DRB1	CD74	0.995	string	1
HLA-DRB1	CD4	0.994	string	1
CR1	C4A	0.999	string	1
CR1	C4B	0.999	string	1
CR1	C3	0.999	string	1
CR1	MBL2	0.925	string	1
CR1	CFI	0.905	string	1
NDUFAF6	NDUFAF5	0.988	string	1
NDUFAF6	NDUFAF1	0.958	string	1
NDUFAF6	NDUFAF4	0.926	string	1
NDUFAF6	NDUFAF2	0.913	string	1
NDUFAF6	NDUFAF3	0.905	string	1
PVR	TIGIT	0.999	string	1
PVR	CD226	0.999	string	1
PVR	CD96	0.999	string	1
PVR	NECTIN3	0.99	string	1
PVR	CTLA4	0.95	string	1
KAT8	MSL3	0.997	string	1
KAT8	KANSL1	0.996	string	1
KAT8	MSL2	0.995	string	1
KAT8	MSL1	0.995	string	1
KAT8	WDR5	0.994	string	1
EPHX2	CYP2J2	0.981	string	1
EPHX2	CYP2C8	0.973	string	1
EPHX2	CYP2C9	0.967	string	1
EPHX2	CYP2B6	0.944	string	1
EPHX2	PNP	0.927	string	1
EARS2	FAU	0.99	string	1
EARS2	MARS1	0.983	string	1
EARS2	MARS2	0.977	string	1
EARS2	EPRS1	0.968	string	1
EARS2	LARS2	0.964	string	1
INO80E	ACTR5	0.999	string	1
INO80E	NFRKB	0.999	string	1
INO80E	INO80	0.999	string	1
INO80E	TFPT	0.996	string	1
INO80E	INO80B	0.995	string	1
STAG3	SMC3	0.999	string	1
STAG3	RAD21	0.999	string	1
STAG3	REC8	0.999	string	1
STAG3	RAD21L1	0.999	string	1
STAG3	SMC1B	0.999	string	1
CRHR1-2	CRH	0.999	string	1
CRHR1-2	UCN	0.999	string	1
CRHR1-2	CRHBP	0.978	string	1
CRHR1-2	UCN3	0.977	string	1
CRHR1-2	GNAS	0.973	string	1
CD74	CD44	0.999	string	2
CD74	MIF	0.999	string	2
CD74	HLA-DRA	0.999	string	2
CD74	HLA-DQB1	0.997	string	2
CD74	FAU	0.997	string	2
CD4	LCK	0.999	string	2
CD4	CCR5	0.999	string	2
CD4	CD8A	0.999	string	2
CD4	ITIH4	0.999	string	2
CD4	CXCR4	0.999	string	2
ST6GALNAC1	C1GALT1	0.98	string	2
ST6GALNAC1	C1GALT1C1	0.973	string	2
ST6GALNAC1	GCNT1	0.965	string	2
ST6GALNAC1	B3GNT6	0.959	string	2
HBEGF	ERBB4	0.999	string	2
HBEGF	EGF	0.992	string	2
HBEGF	ERBB3	0.991	string	2
HBEGF	CD44	0.99	string	2
INO80B	RUVBL2	0.999	string	2
INO80B	INO80	0.999	string	2
INO80B	RUVBL1	0.999	string	2
INO80B	ACTR5	0.998	string	2
INO80B	INO80C	0.997	string	2
ACTR5	RUVBL1	0.999	string	2
ACTR5	INO80C	0.999	string	2
ACTR5	NFRKB	0.999	string	2
ACTR5	INO80	0.999	string	2
C3	CFP	0.999	string	2
C3	CD46	0.999	string	2
C3	CFI	0.999	string	2
C3	CFHR1	0.999	string	2
NDUFAF1	TMEM126B	0.999	string	2
NDUFAF1	NDUFS1	0.999	string	2
NDUFAF1	NDUFA13	0.999	string	2
NDUFAF1	NDUFA12	0.999	string	2
NDUFAF1	ACAD9	0.999	string	2
CYP2C9	CYP2C19	0.988	string	2
CYP2C9	VKORC1	0.98	string	2
CYP2C9	CYP3A4	0.98	string	2
CYP2C9	CYP4F2	0.974	string	2
CYP2C9	CYP3A7	0.971	string	2
MARS1	DARS1	0.999	string	2
MARS1	QARS1	0.999	string	2
MARS1	LARS1	0.999	string	2
MARS1	KARS1	0.999	string	2
MARS1	EEF1E1	0.999	string	2
ERBB2	ERBB4	0.999	string	2
ERBB2	GRB7	0.999	string	2
ERBB2	NRG1	0.999	string	2
ERBB2	ERBIN	0.999	string	2
REN	AGT	0.999	string	2
REN	ATP6AP2	0.999	string	2
REN	AGTR1	0.969	string	2
REN	ACE2	0.96	string	2
CRHBP	CRH	0.999	string	2
CRHBP	CRHR1	0.983	string	2
CRHBP	CRHR1-2	0.978	string	2
CRHBP	UCN	0.976	string	2
CRHBP	CRHR2	0.974	string	2
CRH	CRHR1	0.999	string	2
CRH	CRHR1-2	0.999	string	2
CRH	CRHR2	0.999	string	2
CRH	UCN	0.999	string	2
MARS2	IARS1	0.996	string	2
MARS2	LARS2	0.995	string	2
MARS2	IARS2	0.995	string	2
MARS2	EPRS1	0.993	string	2
MARS2	LARS1	0.993	string	2
CD96	NECTIN2	0.999	string	2
CD96	NECTIN1	0.992	string	2
CD96	TIGIT	0.973	string	2
NRG1	ERBB3	0.999	string	2
NRG1	ERBB4	0.999	string	2
NRG1	NRG4	0.989	string	2
UCN	CRHR1-2	0.999	string	2
UCN	CRHR1	0.999	string	2
UCN	CRHR2	0.999	string	2
UCN	UCN2	0.996	string	2
NDUFAF2	NDUFA12	0.998	string	2
NDUFAF2	NDUFS4	0.996	string	2
NDUFAF2	NDUFS8	0.992	string	2
NDUFAF2	NDUFS1	0.992	string	2
NDUFAF2	NDUFV2	0.992	string	2
RAD21	STAG1	0.999	string	2
RAD21	WAPL	0.999	string	2
RAD21	CTCF	0.999	string	2
RAD21	SMC1B	0.999	string	2
MSL2	MSL3	0.999	string	2
MSL2	MSL1	0.999	string	2
MSL2	KAT5	0.951	string	2
MSL2	MORF4L1	0.93	string	2
UBXN2A	VCP	0.999	string	2
UBXN2A	NSFL1C	0.999	string	2
UBXN2A	ASPSCR1	0.997	string	2
UBXN2A	UBXN10	0.997	string	2
UBXN2A	VCPIP1	0.995	string	2
MSL3	MSL1	0.999	string	2
MSL3	H4C6	0.992	string	2
MSL3	KAT5	0.958	string	2
NDUFAF3	NDUFB10	0.999	string	2
NDUFAF3	NDUFA8	0.999	string	2
NDUFAF3	NDUFS2	0.999	string	2
NDUFAF3	TIMMDC1	0.999	string	2
NDUFAF3	NDUFAF4	0.999	string	2
CYP2B6	CYP3A5	0.97	string	2
CYP2B6	CYP3A7	0.967	string	2
CYP2B6	CYP4A11	0.966	string	2
CYP2B6	PPIG	0.964	string	2
CYP2B6	CYP1A2	0.963	string	2
SMC1B	SMC3	0.999	string	2
SMC1B	REC8	0.999	string	2
SMC1B	RAD21L1	0.999	string	2
WDR5	H3C12	0.999	string	2
WDR5	H3C13	0.999	string	2
WDR5	DPY30	0.999	string	2
WDR5	KANSL1	0.999	string	2
WDR5	RBBP5	0.999	string	2
PNP	ADA	0.998	string	2
PNP	XDH	0.997	string	2
PNP	APRT	0.996	string	2
PNP	UPP2	0.996	string	2
PNP	UPP1	0.994	string	2
SMC3	STAG2	0.999	string	2
SMC3	NIPBL	0.999	string	2
SMC3	RAD21	0.999	string	2
SMC3	PDS5A	0.999	string	2
SMC3	REC8	0.999	string	2
AGT	AGTR2	0.999	string	2
AGT	AGTR1	0.999	string	2
AGT	ACE2	0.999	string	2
EPRS1	EEF1E1	0.999	string	2
EPRS1	RARS2	0.999	string	2
EPRS1	IARS1	0.999	string	2
EPRS1	AIMP2	0.999	string	2
EPRS1	RPL13A	0.999	string	2
NDUFAF4	TIMMDC1	0.999	string	2
NDUFAF4	NDUFS7	0.999	string	2
NDUFAF4	NDUFA13	0.999	string	2
NDUFAF4	NDUFS5	0.995	string	2
GNAS	GNB1	0.999	string	2
GNAS	GNG2	0.997	string	2
GNAS	PTH1R	0.997	string	2
GNAS	CRHR1	0.997	string	2
GNAS	TSHR	0.997	string	2
CYP2J2	CYP4F3	0.97	string	2
CYP2J2	CYP4A11	0.954	string	2
CYP2J2	CYP4F2	0.951	string	2
CYP2J2	CYP3A4	0.951	string	2
CYP2C8	CYP3A4	0.973	string	2
CYP2C8	CYP3A7	0.969	string	2
CYP2C8	CYP4A11	0.966	string	2
CYP2C8	ENSP00000480571	0.961	string	2
MBL2	MASP2	0.999	string	2
MBL2	FCN2	0.998	string	2
MBL2	MASP1	0.998	string	2
MBL2	PRSS2	0.991	string	2
MBL2	FCN3	0.988	string	2
HLA-DMA	HLA-DRA	0.999	string	2
HLA-DMA	HLA-DPA1	0.999	string	2
HLA-DMA	HLA-DMB	0.999	string	2
HLA-DMA	HLA-DOB	0.996	string	2
NDUFAF5	NDUFS7	0.999	string	2
